q,x_q
0.001,4.473099835096489
0.002,4.532994022178827
0.003,4.582227527533089
0.004,4.614610696756209
0.005,4.636131180473382
0.006,4.655806274636682
0.007,4.67314994724879
0.008,4.687324444815534
0.009,4.700796413589672
0.01,4.712998758028766
0.011,4.724448024453588
0.012,4.734791354113246
0.013,4.744931910805414
0.014,4.75554254757334
0.015,4.764183616695363
0.016,4.7715439526371695
0.017,4.778454888895724
0.018,4.785776792089154
0.019,4.792863213969027
0.02,4.800028998467624
0.021,4.80693474288099
0.022,4.813096837243309
0.023,4.819072788762631
0.024,4.824678482376143
0.025,4.83139135366465
0.026,4.837649138437173
0.027,4.8437614152620485
0.028,4.848784257871489
0.029,4.853538559792336
0.03,4.857501144234645
0.031,4.861701017510288
0.032,4.8660051488531035
0.033,4.869798515149452
0.034,4.874114125731671
0.035,4.879031100488276
0.036,4.883653461178625
0.037,4.887307226955186
0.038,4.891085919503739
0.039,4.895465635805292
0.04,4.898892533148498
0.041,4.902334851125509
0.042,4.9066171056562675
0.043,4.91092613800814
0.044,4.914586332027164
0.045,4.917442565728502
0.046,4.9208757123409885
0.047,4.924418165829833
0.048,4.927926923954565
0.049,4.931538421476544
0.05,4.934534812358534
0.051,4.937728154077634
0.052,4.94136172906457
0.053,4.9448054773802514
0.054,4.948213913104218
0.055,4.951241706812103
0.056,4.954382349267089
0.057,4.957228383789776
0.058,4.96000647575262
0.059,4.962687995706958
0.06,4.96601374956973
0.061,4.969331166732035
0.062,4.972133048854392
0.063,4.97456242805024
0.064,4.977053793882255
0.065,4.979892960484767
0.066,4.98220265912303
0.067,4.985275511181117
0.068,4.987744514897149
0.069,4.990209418915126
0.07,4.99238850717288
0.071,4.995035189106495
0.072,4.997770923231302
0.073,5.000424568269399
0.074,5.003306345136519
0.075,5.005916089246721
0.076,5.008360310331485
0.077,5.010514395756971
0.078,5.01328976583812
0.079,5.015511223887397
0.08,5.017889392162555
0.081,5.020001080588064
0.082,5.022474153294462
0.083,5.025201093111219
0.084,5.027716311956933
0.085,5.029883801447536
0.086,5.032072983095074
0.087,5.034619283144892
0.088,5.03735600400562
