<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
ETF.IVV;D;20150102;000000;207.8400000;208.3200000;205.7700000;206.7300000;2719113
ETF.IVV;D;20150105;000000;205.6200000;205.7900000;202.7600000;203.1200000;6147359
ETF.IVV;D;20150106;000000;203.5100000;204.1200000;200.2500000;201.2700000;7140971
ETF.IVV;D;20150107;000000;202.8600000;204.1400000;202.3000000;203.7600000;3130793
ETF.IVV;D;20150108;000000;205.4900000;207.5899000;205.4300000;207.4000000;4065346
ETF.IVV;D;20150109;000000;207.8400000;207.8500000;205.0300000;205.6500000;2434674
ETF.IVV;D;20150112;000000;205.8500000;206.0300000;203.3501000;204.0100000;3012550
ETF.IVV;D;20150113;000000;205.5600000;206.9100000;201.9500000;203.5600000;6108390
ETF.IVV;D;20150114;000000;201.0500000;202.4900000;199.9700000;202.2500000;6582103
ETF.IVV;D;20150115;000000;203.0300000;203.4200000;200.2800000;200.4600000;6190390
ETF.IVV;D;20150116;000000;200.1800000;203.2299000;199.9453000;203.0000000;2867454
ETF.IVV;D;20150120;000000;203.7900000;204.1200000;201.5900000;203.5000000;2789214
ETF.IVV;D;20150121;000000;202.9200000;205.0700000;202.3700000;204.5000000;4688421
ETF.IVV;D;20150122;000000;205.4400000;207.7100000;203.7600000;207.5000000;3798494
ETF.IVV;D;20150123;000000;207.2000000;207.5400000;206.2400000;206.3900000;4001138
ETF.IVV;D;20150126;000000;206.1800000;207.0100000;205.2900000;206.9400000;3019944
ETF.IVV;D;20150127;000000;204.4400000;205.5500000;203.1500000;204.1600000;4913614
ETF.IVV;D;20150128;000000;205.6300000;205.7200000;201.3800000;201.5200000;4487313
ETF.IVV;D;20150129;000000;201.7600000;203.7200000;200.0800000;203.4500000;5814449
ETF.IVV;D;20150130;000000;201.9900000;203.5800000;200.5400000;200.8700000;7250136
ETF.IVV;D;20150202;000000;201.4800000;203.4300000;199.2700000;203.3100000;4026929
ETF.IVV;D;20150203;000000;204.4200000;206.2900000;204.0000000;206.2000000;2798516
ETF.IVV;D;20150204;000000;205.3900000;206.8200000;204.9600000;205.4700000;5137834
ETF.IVV;D;20150205;000000;206.3200000;207.7440000;206.2300000;207.6200000;5234138
ETF.IVV;D;20150206;000000;208.0200000;208.7200000;206.4000000;206.9800000;3514609
ETF.IVV;D;20150209;000000;206.2100000;207.0900000;205.5800000;206.0400000;3809587
ETF.IVV;D;20150210;000000;207.3300000;208.5700000;206.2600000;208.2900000;2684527
ETF.IVV;D;20150211;000000;208.0700000;208.8934000;207.2700000;208.3400000;5971905
ETF.IVV;D;20150212;000000;209.3800000;210.4500000;207.6700000;210.3300000;4515812
ETF.IVV;D;20150213;000000;210.5100000;211.3100000;210.2400000;211.2800000;2707214
ETF.IVV;D;20150217;000000;210.8900000;211.8000000;210.5900000;211.6600000;2054417
ETF.IVV;D;20150218;000000;211.1300000;211.7000000;210.8200000;211.6200000;1600388
ETF.IVV;D;20150219;000000;210.9200000;211.9000000;210.7200000;211.4900000;1990409
ETF.IVV;D;20150220;000000;210.9400000;212.8000000;210.2320000;212.7800000;2253762
ETF.IVV;D;20150223;000000;212.4400000;212.7100000;211.9700000;212.6700000;2351685
ETF.IVV;D;20150224;000000;212.6200000;213.5499000;212.2700000;213.3300000;1951118
ETF.IVV;D;20150225;000000;213.1600000;213.7400000;212.7300000;213.1500000;1909704
ETF.IVV;D;20150226;000000;213.0600000;213.1900000;212.1600000;212.9100000;3798204
ETF.IVV;D;20150227;000000;212.7700000;213.0850000;212.1500000;212.2200000;2329159
ETF.IVV;D;20150302;000000;212.2700000;213.5400000;212.2500000;213.5100000;5133530
ETF.IVV;D;20150303;000000;212.9600000;213.0736000;211.5700000;212.6000000;2681940
ETF.IVV;D;20150304;000000;211.9100000;211.9700000;210.5500000;211.7100000;4350532
ETF.IVV;D;20150305;000000;212.1000000;212.2800000;211.3500000;211.9300000;2131881
ETF.IVV;D;20150306;000000;210.9000000;211.4200000;208.5600000;208.9800000;4716637
ETF.IVV;D;20150309;000000;209.1800000;210.2400000;209.1000000;209.8200000;2321635
ETF.IVV;D;20150310;000000;208.1700000;208.2300000;206.4000000;206.4700000;3317404
ETF.IVV;D;20150311;000000;206.7400000;206.9400000;205.8300000;205.9800000;2532516
ETF.IVV;D;20150312;000000;206.7000000;208.6300000;206.6300000;208.5500000;4158273
ETF.IVV;D;20150313;000000;208.2400000;208.3910000;206.0100000;207.2700000;3320172
ETF.IVV;D;20150316;000000;208.1700000;210.1500000;208.1400000;210.1400000;2594985
ETF.IVV;D;20150317;000000;209.2100000;209.8878000;208.4500000;209.4300000;3024858
ETF.IVV;D;20150318;000000;208.8700000;212.7500000;208.0800000;211.9000000;4350797
ETF.IVV;D;20150319;000000;211.4500000;211.7800000;210.5200000;210.9900000;3154476
ETF.IVV;D;20150320;000000;212.1200000;213.4500000;212.0400000;212.8500000;2635721
ETF.IVV;D;20150323;000000;212.8600000;213.5300000;212.4400000;212.4800000;2097583
ETF.IVV;D;20150324;000000;212.2200000;212.8200000;211.1500000;211.1700000;3701725
ETF.IVV;D;20150325;000000;210.4700000;210.7700000;207.1100000;207.1900000;3213624
ETF.IVV;D;20150326;000000;206.3500000;207.7400000;205.5000000;206.6800000;2340488
ETF.IVV;D;20150327;000000;206.5300000;207.3300000;206.2900000;207.1000000;1670237
ETF.IVV;D;20150330;000000;208.3500000;209.9900000;208.3500000;209.6200000;2659193
ETF.IVV;D;20150331;000000;208.6400000;209.4889000;207.7600000;207.8200000;2342318
ETF.IVV;D;20150401;000000;207.7700000;207.7800000;205.8800000;207.1800000;5377785
ETF.IVV;D;20150402;000000;207.0000000;208.3500000;206.7600000;207.7600000;2176667
ETF.IVV;D;20150406;000000;206.7600000;209.8500000;206.5900000;209.2400000;2452292
ETF.IVV;D;20150407;000000;209.2300000;210.1500000;208.6500000;208.6600000;2066058
ETF.IVV;D;20150408;000000;208.9700000;209.8900000;208.4700000;209.3800000;2632564
ETF.IVV;D;20150409;000000;209.2000000;210.5700000;208.6000000;210.3300000;2047630
ETF.IVV;D;20150410;000000;210.5900000;211.4900000;210.3700000;211.4500000;1424028
ETF.IVV;D;20150413;000000;211.3100000;212.0300000;210.4600000;210.4600000;1056133
