<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US1.AAPL,D,20150102,000000,111.3900000,111.4400000,107.3500000,109.3000000,47045497
US1.AAPL,D,20150105,000000,108.2900000,108.6500000,105.4100000,106.2500000,50146623
US1.AAPL,D,20150106,000000,106.5600000,107.4300000,104.6300000,106.2300000,59441540
US1.AAPL,D,20150107,000000,107.2000000,108.2000000,106.6950000,107.7500000,34452408
US1.AAPL,D,20150108,000000,109.2300000,112.1500000,108.7000000,111.8700000,50255019
US1.AAPL,D,20150109,000000,112.6700000,113.2500000,110.2100000,112.0000000,48503641
US1.AAPL,D,20150112,000000,112.6300000,112.6400000,108.8000000,109.2600000,44493161
US1.AAPL,D,20150113,000000,111.4300000,112.8000000,108.9100000,110.2250000,60630045
US1.AAPL,D,20150114,000000,108.9400000,110.4900000,108.5000000,109.7900000,41654880
US1.AAPL,D,20150115,000000,110.0000000,110.0600000,106.6600000,106.8300000,51423305
US1.AAPL,D,20150116,000000,107.0300000,107.5800000,105.2000000,105.9800000,57934319
US1.AAPL,D,20150120,000000,107.8600000,108.7800000,106.5000000,108.7100000,38845767
US1.AAPL,D,20150121,000000,108.7600000,111.0600000,108.2700000,109.5500000,42812255
US1.AAPL,D,20150122,000000,110.3300000,112.4700000,109.7200000,112.3900000,41165569
US1.AAPL,D,20150123,000000,112.2800000,113.7500000,111.5300000,112.9900000,38282113
US1.AAPL,D,20150126,000000,113.6400000,114.3626000,112.8000000,113.0900000,43764103
US1.AAPL,D,20150127,000000,112.4300000,112.4800000,109.0300000,109.1500000,67430682
US1.AAPL,D,20150128,000000,117.6300000,118.1200000,115.3200000,115.3200000,124701318
US1.AAPL,D,20150129,000000,116.3600000,119.1900000,115.5600000,118.9400000,74753288
US1.AAPL,D,20150130,000000,118.4000000,120.0000000,116.8500000,117.1600000,69782838
US1.AAPL,D,20150202,000000,118.0400000,119.1700000,116.0800000,118.6200000,55113516
US1.AAPL,D,20150203,000000,118.4600000,119.0900000,117.6100000,118.6000000,43555395
US1.AAPL,D,20150204,000000,118.5000000,120.5100000,118.3090000,119.5500000,63181345
US1.AAPL,D,20150205,000000,120.0200000,120.2300000,119.2500000,119.9400000,36157432
US1.AAPL,D,20150206,000000,120.0500000,120.2500000,118.4500000,118.9100000,38899318
US1.AAPL,D,20150209,000000,118.5500000,119.8400000,118.4300000,119.7200000,33755737
US1.AAPL,D,20150210,000000,120.1700000,122.1500000,120.1600000,122.0200000,52811215
US1.AAPL,D,20150211,000000,122.8600000,124.9200000,122.5000000,124.8700000,64917482
US1.AAPL,D,20150212,000000,126.0600000,127.4800000,125.5700000,126.4300000,65727045
US1.AAPL,D,20150213,000000,127.2800000,127.2800000,125.6500000,127.0800000,46474284
US1.AAPL,D,20150217,000000,127.3700000,128.8800000,126.9200000,127.8200000,54899122
US1.AAPL,D,20150218,000000,127.5800000,128.7800000,127.4500000,128.7200000,38502166
US1.AAPL,D,20150219,000000,128.4600000,129.0300000,128.3300000,128.4600000,33151285
US1.AAPL,D,20150220,000000,128.6200000,129.5000000,128.0500000,129.5000000,42471189
US1.AAPL,D,20150223,000000,130.0300000,133.0000000,129.6600000,132.9750000,58450419
US1.AAPL,D,20150224,000000,132.9500000,133.6000000,131.1700000,132.1800000,61964367
US1.AAPL,D,20150225,000000,131.5600000,131.6000000,128.1500000,128.7800000,67436953
US1.AAPL,D,20150226,000000,128.8300000,130.8700000,126.6100000,130.4100000,81405180
US1.AAPL,D,20150227,000000,130.0000000,130.5700000,128.2400000,128.4700000,50079079
US1.AAPL,D,20150302,000000,129.2400000,130.2800000,128.3000000,129.0800000,41274277
US1.AAPL,D,20150303,000000,128.9700000,129.5200000,128.0900000,129.3800000,32843947
US1.AAPL,D,20150304,000000,129.1000000,129.5600000,128.3200000,128.5600000,26198737
US1.AAPL,D,20150305,000000,128.5800000,128.7500000,125.7600000,126.4000000,50029198
US1.AAPL,D,20150306,000000,128.4900000,129.3700000,126.2600000,126.5900000,62103198
US1.AAPL,D,20150309,000000,127.9800000,129.5700000,125.0600000,127.1100000,80169356
US1.AAPL,D,20150310,000000,126.4700000,127.2200000,123.8000000,124.5200000,57143570
US1.AAPL,D,20150311,000000,124.7500000,124.7700000,122.1100000,122.2500000,61180175
US1.AAPL,D,20150312,000000,122.3100000,124.9000000,121.6300000,124.4400000,41472999
US1.AAPL,D,20150313,000000,124.4000000,125.3951000,122.5800000,123.5900000,44947077
US1.AAPL,D,20150316,000000,123.8800000,124.9500000,122.8700000,124.9400000,29484515
US1.AAPL,D,20150317,000000,125.9000000,127.3200000,125.6500000,127.0500000,44418357
US1.AAPL,D,20150318,000000,127.0300000,129.1600000,126.3700000,128.4700000,49979097
US1.AAPL,D,20150319,000000,128.7500000,129.2451000,127.4000000,127.4900000,38543105
US1.AAPL,D,20150320,000000,128.2900000,128.4000000,125.1600000,125.9500000,47123385
US1.AAPL,D,20150323,000000,127.0300000,127.8500000,126.5200000,127.2100000,29909760
US1.AAPL,D,20150324,000000,127.1900000,128.0400000,126.5600000,126.6900000,28311700
US1.AAPL,D,20150325,000000,126.6900000,126.8200000,123.3900000,123.3900000,44840161
US1.AAPL,D,20150326,000000,122.7800000,124.8800000,122.6000000,124.2500000,40990687
US1.AAPL,D,20150327,000000,124.5600000,124.7000000,122.9100000,123.2400000,33867994
US1.AAPL,D,20150330,000000,124.0500000,126.4000000,124.0000000,126.3300000,37276746
US1.AAPL,D,20150331,000000,126.0900000,126.4900000,124.3550000,124.4500000,34710923
US1.AAPL,D,20150401,000000,124.7800000,125.1200000,123.1000000,124.2300000,35511149
US1.AAPL,D,20150402,000000,125.0300000,125.5600000,124.1900000,125.3100000,28015989
US1.AAPL,D,20150406,000000,124.4700000,127.5100000,124.3300000,127.3400000,31657273
US1.AAPL,D,20150407,000000,127.6400000,128.1218000,125.9800000,126.0050000,30037436
US1.AAPL,D,20150408,000000,125.8500000,126.4000000,124.9700000,125.6000000,33240389
US1.AAPL,D,20150409,000000,125.8600000,126.5800000,124.6600000,126.5600000,27992226
US1.AAPL,D,20150410,000000,125.9500000,127.2100000,125.2600000,127.1000000,35138976
US1.AAPL,D,20150413,000000,128.3700000,128.5700000,126.6100000,126.8500000,32044601
US1.AAPL,D,20150414,000000,127.0100000,127.2900000,125.9100000,126.3000000,22148656
US1.AAPL,D,20150415,000000,126.4100000,127.1300000,126.0100000,126.7800000,24862812
US1.AAPL,D,20150416,000000,126.4200000,127.1000000,126.1100000,126.1800000,23766368
US1.AAPL,D,20150417,000000,125.5500000,126.1400000,124.4600000,124.7600000,40418492
US1.AAPL,D,20150420,000000,125.5400000,128.1200000,125.1700000,127.5900000,40708613
US1.AAPL,D,20150421,000000,128.0600000,128.2000000,126.6700000,126.8900000,28918402
US1.AAPL,D,20150422,000000,126.9900000,128.8700000,126.3200000,128.6300000,31886766
US1.AAPL,D,20150423,000000,128.2900000,130.4200000,128.1400000,129.6800000,39905002
US1.AAPL,D,20150424,000000,130.4900000,130.6300000,129.2300000,130.2800000,37082215
US1.AAPL,D,20150427,000000,132.3100000,133.1300000,131.1500000,132.6900000,69337952
US1.AAPL,D,20150428,000000,134.4600000,134.5400000,129.5700000,130.5600000,107553870
US1.AAPL,D,20150429,000000,130.1600000,131.5900000,128.3000000,128.6400000,52355699
US1.AAPL,D,20150430,000000,127.5000000,127.8800000,124.5800000,125.2200000,69150906
US1.AAPL,D,20150501,000000,126.0900000,130.1300000,125.3000000,128.9500000,50577124
US1.AAPL,D,20150504,000000,129.5000000,130.5700000,128.2600000,128.7000000,42252232
US1.AAPL,D,20150505,000000,128.1500000,128.4498000,125.7800000,125.8100000,42001432
US1.AAPL,D,20150506,000000,126.5600000,126.7500000,123.3600000,125.0850000,63474106
US1.AAPL,D,20150507,000000,124.7600000,126.0800000,124.0200000,125.2500000,37264138
US1.AAPL,D,20150508,000000,126.4900000,127.6200000,126.1100000,127.6000000,38672985
US1.AAPL,D,20150511,000000,127.3900000,127.5600000,125.6250000,126.3200000,32671160
US1.AAPL,D,20150512,000000,125.6000000,126.8800000,124.8200000,125.8600000,38538158
US1.AAPL,D,20150513,000000,126.1500000,127.1900000,125.8700000,126.0000000,29021009
US1.AAPL,D,20150514,000000,127.4200000,128.9500000,127.1600000,128.9500000,39647642
US1.AAPL,D,20150515,000000,129.1900000,129.4900000,128.2100000,128.7600000,32891577
US1.AAPL,D,20150518,000000,128.3800000,130.7200000,128.3600000,130.1700000,43050251
US1.AAPL,D,20150519,000000,130.6900000,130.8800000,129.6400000,130.0700000,36223659
US1.AAPL,D,20150520,000000,130.0000000,130.9800000,129.3400000,130.0700000,30483736
US1.AAPL,D,20150521,000000,130.0700000,131.6300000,129.8300000,131.4000000,33644211
US1.AAPL,D,20150522,000000,131.6000000,132.9700000,131.4000000,132.5700000,40155042
US1.AAPL,D,20150526,000000,132.6000000,132.9100000,129.1200000,129.6300000,56813801
US1.AAPL,D,20150527,000000,130.2800000,132.2600000,130.0500000,132.0100000,39079626
US1.AAPL,D,20150528,000000,131.8600000,131.9500000,131.1000000,131.7700000,25460362
US1.AAPL,D,20150529,000000,131.2300000,131.4500000,129.9000000,130.3200000,38054017
US1.AAPL,D,20150601,000000,131.3600000,131.4600000,130.0500000,130.5300000,27501844
US1.AAPL,D,20150602,000000,129.8600000,130.6550000,129.3200000,129.9600000,30310302
US1.AAPL,D,20150603,000000,130.6600000,130.9400000,129.9000000,130.1600000,27753987
US1.AAPL,D,20150604,000000,129.6400000,130.5800000,128.9100000,129.4600000,34199168
US1.AAPL,D,20150605,000000,129.5000000,129.6900000,128.3600000,128.6500000,31211413
US1.AAPL,D,20150608,000000,128.8700000,129.2100000,126.8300000,127.7600000,46902065
