<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US1.ADBE,D,20150102,000000,72.7000000,73.2031000,71.8900000,72.3400000,1905197
US1.ADBE,D,20150105,000000,72.2100000,72.4300000,71.5700000,71.9900000,1969700
US1.ADBE,D,20150106,000000,71.9500000,72.1000000,69.8800000,70.5200000,2444760
US1.ADBE,D,20150107,000000,70.7200000,71.2900000,70.4200000,71.1200000,1886003
US1.ADBE,D,20150108,000000,71.4000000,73.0600000,71.3100000,72.9100000,2226174
US1.ADBE,D,20150109,000000,72.8900000,73.1300000,71.6300000,71.8300000,1411416
US1.ADBE,D,20150112,000000,72.1300000,72.2600000,70.7500000,71.1100000,1016555
US1.ADBE,D,20150113,000000,72.0300000,72.9600000,69.9500000,70.5900000,1688937
US1.ADBE,D,20150114,000000,69.8800000,70.4000000,68.9800000,69.9300000,1448292
US1.ADBE,D,20150115,000000,71.7600000,71.7600000,70.1600000,70.2900000,2417192
US1.ADBE,D,20150116,000000,70.0300000,71.8500000,70.0300000,71.7300000,1955723
US1.ADBE,D,20150120,000000,71.7900000,71.9900000,70.5800000,71.4900000,1258366
US1.ADBE,D,20150121,000000,71.0500000,71.8900000,70.3700000,71.5400000,1278585
US1.ADBE,D,20150122,000000,71.9000000,73.6500000,70.9000000,73.4700000,1827675
US1.ADBE,D,20150123,000000,73.4400000,74.4000000,73.0600000,74.0700000,1569616
US1.ADBE,D,20150126,000000,72.6800000,73.1500000,71.6800000,72.7300000,3023784
US1.ADBE,D,20150127,000000,71.7100000,72.3600000,71.0600000,71.4600000,1509254
US1.ADBE,D,20150128,000000,71.4600000,71.8400000,70.0700000,70.2500000,1872834
US1.ADBE,D,20150129,000000,69.9700000,71.8200000,69.7800000,71.6500000,2188437
US1.ADBE,D,20150130,000000,71.3200000,71.6699000,70.0600000,70.1500000,1765905
US1.ADBE,D,20150202,000000,70.4900000,71.2000000,69.0400000,71.1100000,1950817
US1.ADBE,D,20150203,000000,71.5400000,71.9700000,71.0000000,71.9000000,1235975
US1.ADBE,D,20150204,000000,71.7900000,72.6200000,71.7800000,72.2600000,1849054
US1.ADBE,D,20150205,000000,72.4700000,73.1800000,72.3200000,73.1000000,1203887
US1.ADBE,D,20150206,000000,73.1800000,73.6200000,72.2400000,72.5500000,1089960
US1.ADBE,D,20150209,000000,72.0900000,72.9800000,72.0400000,72.3300000,1361319
US1.ADBE,D,20150210,000000,72.9400000,73.1900000,72.1100000,72.7400000,1463833
US1.ADBE,D,20150211,000000,72.7800000,73.1400000,72.3500000,73.0100000,1346626
US1.ADBE,D,20150212,000000,73.6000000,74.7550000,73.3100000,74.5800000,1946055
US1.ADBE,D,20150213,000000,74.9800000,76.6200000,74.7700000,76.5200000,3478800
US1.ADBE,D,20150217,000000,76.6600000,77.2200000,76.3100000,77.1200000,1611271
US1.ADBE,D,20150218,000000,77.0200000,77.9975000,76.8000000,77.7300000,1423661
US1.ADBE,D,20150219,000000,77.4200000,77.9400000,77.2000000,77.7400000,1236261
US1.ADBE,D,20150220,000000,77.4100000,78.5600000,77.2000000,78.5600000,1326276
US1.ADBE,D,20150223,000000,78.6500000,78.6900000,77.7900000,78.0900000,993187
US1.ADBE,D,20150224,000000,78.0300000,78.0300000,77.0800000,77.6800000,1691245
US1.ADBE,D,20150225,000000,77.7500000,78.4400000,77.3150000,78.0600000,1004052
US1.ADBE,D,20150226,000000,78.3200000,79.0700000,78.0200000,78.9700000,1257779
US1.ADBE,D,20150227,000000,79.2400000,80.3000000,78.9300000,79.1000000,2353055
US1.ADBE,D,20150302,000000,79.1400000,79.7900000,78.7150000,79.7900000,1121726
US1.ADBE,D,20150303,000000,79.6300000,79.9900000,78.9700000,78.9800000,1288132
US1.ADBE,D,20150304,000000,78.7000000,78.7400000,77.1300000,77.6300000,2049884
US1.ADBE,D,20150305,000000,77.6000000,78.7100000,77.3000000,78.6100000,1480188
US1.ADBE,D,20150306,000000,78.1900000,78.5000000,77.0500000,77.5600000,1844792
US1.ADBE,D,20150309,000000,77.7600000,78.2400000,77.4300000,77.9400000,1589069
US1.ADBE,D,20150310,000000,77.2500000,77.2900000,75.9900000,75.9900000,2032144
US1.ADBE,D,20150311,000000,75.9100000,76.7800000,75.6800000,76.0100000,1327447
US1.ADBE,D,20150312,000000,76.1400000,77.4400000,75.9700000,77.4000000,1300710
US1.ADBE,D,20150313,000000,77.1800000,78.0600000,76.6200000,77.6000000,1809459
US1.ADBE,D,20150316,000000,78.2100000,78.5899000,77.8000000,78.3150000,1375782
US1.ADBE,D,20150317,000000,78.2200000,79.8700000,78.1800000,79.6700000,4171928
US1.ADBE,D,20150318,000000,75.5000000,78.3200000,74.7500000,76.8900000,9493568
US1.ADBE,D,20150319,000000,76.4800000,77.3800000,75.2901000,77.1500000,2914501
US1.ADBE,D,20150320,000000,77.6700000,77.9600000,76.8100000,77.3600000,2604997
US1.ADBE,D,20150323,000000,77.1100000,77.3000000,76.3400000,76.3500000,1394238
US1.ADBE,D,20150324,000000,76.1100000,76.4200000,75.3800000,75.4500000,2430732
US1.ADBE,D,20150325,000000,75.5000000,75.5900000,73.1200000,73.1300000,2907476
