<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US1.AMZN,D,20150102,000000,312.5800000,314.7500000,306.9601000,308.5200000,2238393
US1.AMZN,D,20150105,000000,307.0100000,308.3800000,300.8500000,302.1000000,2073212
US1.AMZN,D,20150106,000000,302.2400000,303.0000000,292.3800000,295.2900000,2822127
US1.AMZN,D,20150107,000000,297.5000000,301.2800000,295.3300000,298.4200000,2058316
US1.AMZN,D,20150108,000000,300.3200000,303.1400000,296.1100000,300.4600000,2409066
US1.AMZN,D,20150109,000000,301.3500000,302.8700000,296.6800000,296.9300000,2051952
US1.AMZN,D,20150112,000000,297.5600000,298.5100000,289.2810000,291.4000000,2651875
US1.AMZN,D,20150113,000000,297.8900000,301.4976000,293.2300000,294.7300000,3294224
US1.AMZN,D,20150114,000000,292.5800000,295.9100000,286.5030000,293.2600000,4529598
US1.AMZN,D,20150115,000000,294.0000000,295.9995000,286.8150000,286.9550000,3102093
US1.AMZN,D,20150116,000000,286.2800000,290.7900000,285.2500000,290.2100000,2710455
US1.AMZN,D,20150120,000000,292.5900000,293.3599000,286.3900000,289.5400000,2437707
US1.AMZN,D,20150121,000000,289.6400000,306.0000000,287.2600000,297.2600000,8779528
US1.AMZN,D,20150122,000000,300.0000000,312.2500000,300.0000000,310.3900000,4425886
US1.AMZN,D,20150123,000000,308.0800000,316.9300000,307.7200000,312.4200000,3572264
US1.AMZN,D,20150126,000000,311.8200000,313.0000000,307.5201000,309.6500000,2617294
US1.AMZN,D,20150127,000000,306.3000000,310.2430000,302.6250000,306.7800000,2302214
US1.AMZN,D,20150128,000000,309.8100000,311.5100000,303.8000000,303.9100000,2410223
US1.AMZN,D,20150129,000000,304.5900000,312.8000000,299.3300000,311.7800000,4612421
US1.AMZN,D,20150130,000000,346.1400000,359.5000000,340.7400000,354.5500000,19082103
US1.AMZN,D,20150202,000000,350.0500000,365.0000000,350.0100000,364.5890000,8335551
US1.AMZN,D,20150203,000000,360.2900000,367.8170000,360.2100000,363.3950000,4895753
US1.AMZN,D,20150204,000000,358.4000000,367.5000000,358.2300000,364.6850000,3391382
US1.AMZN,D,20150205,000000,366.0000000,378.8000000,365.9000000,373.8900000,6112721
US1.AMZN,D,20150206,000000,373.9600000,375.9899000,371.0100000,374.3300000,3170141
US1.AMZN,D,20150209,000000,370.6400000,374.4100000,367.2000000,370.5900000,2170129
US1.AMZN,D,20150210,000000,371.1900000,374.3000000,368.5100000,373.0000000,1817520
US1.AMZN,D,20150211,000000,371.2800000,377.1000000,371.1000000,375.1500000,2243768
US1.AMZN,D,20150212,000000,374.3700000,378.5100000,373.1500000,377.1600000,2214286
US1.AMZN,D,20150213,000000,378.2100000,383.0000000,377.0100000,381.8600000,2848760
US1.AMZN,D,20150217,000000,377.7200000,379.9850000,372.6700000,375.4000000,2692018
US1.AMZN,D,20150218,000000,374.0300000,376.7400000,372.8500000,373.3700000,1805380
US1.AMZN,D,20150219,000000,373.6400000,381.8800000,373.4300000,378.9500000,2205807
US1.AMZN,D,20150220,000000,378.6100000,383.7000000,375.8400000,383.6500000,2598541
US1.AMZN,D,20150223,000000,383.4400000,384.5400000,378.0000000,380.1400000,1667132
US1.AMZN,D,20150224,000000,378.6500000,380.4800000,376.1600000,378.5100000,1465362
