<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US1.CSCO,D,20150102,000000,27.8600000,28.1200000,27.3800000,27.6000000,20210320
US1.CSCO,D,20150105,000000,27.3200000,27.4500000,27.0000000,27.0700000,23121088
US1.CSCO,D,20150106,000000,27.1400000,27.6800000,27.0400000,27.0400000,42115028
US1.CSCO,D,20150107,000000,27.1300000,27.4000000,26.9800000,27.3100000,24073654
US1.CSCO,D,20150108,000000,27.5400000,28.0900000,27.4700000,27.5200000,32860522
US1.CSCO,D,20150109,000000,27.6700000,28.0700000,27.4500000,27.7800000,27554799
US1.CSCO,D,20150112,000000,28.0000000,28.2000000,27.8200000,28.0500000,35428978
US1.CSCO,D,20150113,000000,28.1500000,28.7000000,27.9000000,28.1000000,33403221
US1.CSCO,D,20150114,000000,27.8400000,28.0500000,27.6400000,27.9200000,26119843
US1.CSCO,D,20150115,000000,28.0900000,28.1950000,27.3500000,27.4200000,26189454
US1.CSCO,D,20150116,000000,27.3600000,27.7700000,27.2100000,27.6800000,23711077
US1.CSCO,D,20150120,000000,27.7600000,28.2700000,27.6550000,28.0700000,29710353
US1.CSCO,D,20150121,000000,28.0400000,28.1850000,27.7000000,27.8400000,21172433
US1.CSCO,D,20150122,000000,27.5500000,28.5100000,27.2200000,28.5000000,43730240
US1.CSCO,D,20150123,000000,28.3600000,28.5000000,28.1400000,28.2150000,17471686
US1.CSCO,D,20150126,000000,28.1200000,28.2300000,27.7000000,27.9645000,16525385
US1.CSCO,D,20150127,000000,27.5200000,27.5900000,26.6600000,26.9050000,42576475
US1.CSCO,D,20150128,000000,27.3900000,27.6000000,26.8000000,26.8100000,26681480
US1.CSCO,D,20150129,000000,26.7600000,27.3100000,26.6400000,27.2200000,24069426
US1.CSCO,D,20150130,000000,26.8600000,27.1100000,26.3200000,26.3700000,30064990
US1.CSCO,D,20150202,000000,26.3900000,26.8700000,25.9200000,26.8300000,25818403
US1.CSCO,D,20150203,000000,26.9000000,27.1200000,26.6900000,27.1200000,24899709
US1.CSCO,D,20150204,000000,27.0600000,27.2200000,26.6101000,26.6900000,24874400
US1.CSCO,D,20150205,000000,26.7500000,27.3000000,26.5800000,27.2600000,17837153
US1.CSCO,D,20150206,000000,27.3400000,27.6600000,27.1400000,27.2450000,22819695
US1.CSCO,D,20150209,000000,27.2100000,27.4050000,27.0600000,27.1300000,17425339
US1.CSCO,D,20150210,000000,27.1600000,27.5400000,27.1500000,27.4800000,19499705
US1.CSCO,D,20150211,000000,27.6500000,27.6500000,26.9000000,26.9200000,38756283
US1.CSCO,D,20150212,000000,28.9900000,29.5800000,28.8400000,29.4700000,103392464
US1.CSCO,D,20150213,000000,29.3800000,29.5000000,29.1100000,29.4300000,43968152
US1.CSCO,D,20150217,000000,29.2600000,29.3500000,29.0300000,29.3099000,30663372
US1.CSCO,D,20150218,000000,29.1600000,29.5500000,29.1200000,29.4900000,21979086
US1.CSCO,D,20150219,000000,29.3200000,29.3900000,29.1300000,29.3100000,19928162
US1.CSCO,D,20150220,000000,29.3500000,29.6600000,29.1550000,29.6000000,22408413
US1.CSCO,D,20150223,000000,29.6200000,29.6500000,29.4200000,29.6200000,18713119
US1.CSCO,D,20150224,000000,29.5600000,29.7100000,29.4300000,29.6400000,16109020
US1.CSCO,D,20150225,000000,29.4400000,29.5700000,29.3200000,29.4900000,15391928
US1.CSCO,D,20150226,000000,29.5200000,29.9900000,29.5200000,29.9100000,24785812
US1.CSCO,D,20150227,000000,29.8500000,29.9100000,29.3800000,29.5100000,23060412
US1.CSCO,D,20150302,000000,29.3600000,30.3100000,29.3400000,30.1750000,31905044
US1.CSCO,D,20150303,000000,30.1000000,30.1200000,29.4700000,29.5575000,29409571
US1.CSCO,D,20150304,000000,29.3400000,29.5200000,29.1100000,29.3300000,27258478
US1.CSCO,D,20150305,000000,29.4700000,29.4900000,29.1200000,29.2900000,15312980
US1.CSCO,D,20150306,000000,29.1500000,29.2700000,28.8000000,28.9200000,22106867
US1.CSCO,D,20150309,000000,28.9000000,29.4500000,28.7600000,29.3600000,18946190
US1.CSCO,D,20150310,000000,29.1400000,29.1700000,28.6600000,28.6600000,21461301
US1.CSCO,D,20150311,000000,28.6800000,28.7600000,28.2100000,28.2650000,21689198
US1.CSCO,D,20150312,000000,28.0500000,28.5400000,28.0500000,28.2400000,19344638
US1.CSCO,D,20150313,000000,28.0200000,28.2600000,27.5650000,27.9300000,32492142
US1.CSCO,D,20150316,000000,28.1000000,28.3800000,28.0400000,28.3000000,20381033
US1.CSCO,D,20150317,000000,28.2700000,28.3100000,27.9500000,28.1500000,19693417
US1.CSCO,D,20150318,000000,27.8800000,28.3400000,27.7200000,28.1450000,30430420
US1.CSCO,D,20150319,000000,28.1000000,28.5400000,28.0300000,28.2650000,23911505
US1.CSCO,D,20150320,000000,28.4400000,28.6200000,28.3200000,28.4300000,27343162
US1.CSCO,D,20150323,000000,28.4100000,28.6900000,28.3600000,28.4100000,16161256
US1.CSCO,D,20150324,000000,28.2900000,28.5700000,27.9900000,28.0100000,18927584
US1.CSCO,D,20150325,000000,27.9200000,28.0900000,27.4700000,27.4700000,23497055
US1.CSCO,D,20150326,000000,27.1800000,27.3050000,26.6200000,27.0800000,35491568
US1.CSCO,D,20150327,000000,27.0700000,27.2100000,26.9400000,27.1200000,17543203
US1.CSCO,D,20150330,000000,27.2300000,27.7500000,27.2200000,27.6400000,24757368
US1.CSCO,D,20150331,000000,27.3400000,27.6900000,27.2800000,27.5250000,22638552
US1.CSCO,D,20150401,000000,27.3100000,27.6380000,27.1000000,27.2400000,19034637
US1.CSCO,D,20150402,000000,27.2200000,27.5000000,27.1300000,27.1300000,17726062
US1.CSCO,D,20150406,000000,26.9600000,27.3200000,26.8400000,27.2200000,15699446
US1.CSCO,D,20150407,000000,27.2000000,27.5600000,27.1300000,27.3800000,15114914
US1.CSCO,D,20150408,000000,27.3700000,27.6600000,27.3700000,27.5500000,16291233
US1.CSCO,D,20150409,000000,27.5900000,27.7400000,27.4200000,27.6200000,13389354
US1.CSCO,D,20150410,000000,27.5800000,28.0800000,27.5600000,28.0500000,20876551
US1.CSCO,D,20150413,000000,27.9500000,28.2800000,27.9400000,27.9900000,18041395
US1.CSCO,D,20150414,000000,28.0100000,28.0600000,27.6800000,27.8200000,17423050
US1.CSCO,D,20150415,000000,28.1000000,28.4200000,27.9700000,28.2600000,25759223
US1.CSCO,D,20150416,000000,28.2600000,28.6380000,28.1000000,28.6100000,27113791
US1.CSCO,D,20150417,000000,28.2800000,28.4000000,27.9000000,27.9200000,33065361
US1.CSCO,D,20150420,000000,28.1400000,28.6300000,28.1200000,28.4900000,18019316
US1.CSCO,D,20150421,000000,28.7200000,28.9200000,28.6600000,28.6900000,21826613
US1.CSCO,D,20150422,000000,28.6700000,28.7900000,28.4200000,28.6200000,15878159
US1.CSCO,D,20150423,000000,28.4000000,28.8200000,28.2000000,28.6700000,18419101
US1.CSCO,D,20150424,000000,29.1800000,29.2800000,28.6700000,28.8300000,22753457
US1.CSCO,D,20150427,000000,28.8200000,29.0300000,28.7100000,28.8900000,17818756
US1.CSCO,D,20150428,000000,28.7600000,29.3300000,28.7600000,29.3200000,21716600
US1.CSCO,D,20150429,000000,29.0600000,29.2500000,28.9000000,29.0600000,20296569
US1.CSCO,D,20150430,000000,28.8500000,29.0150000,28.6800000,28.8300000,22069014
US1.CSCO,D,20150501,000000,28.8100000,29.2000000,28.7800000,29.1150000,16836966
US1.CSCO,D,20150504,000000,29.1000000,29.3600000,29.0700000,29.1700000,14301591
US1.CSCO,D,20150505,000000,29.1400000,29.2100000,28.8350000,28.9000000,20465148
US1.CSCO,D,20150506,000000,28.8600000,29.0750000,28.6900000,28.9700000,21194823
US1.CSCO,D,20150507,000000,28.9900000,29.1200000,28.7401000,28.8100000,19744896
US1.CSCO,D,20150508,000000,28.9900000,29.3700000,28.9900000,29.2400000,19739121
US1.CSCO,D,20150511,000000,29.5000000,29.7900000,29.2000000,29.2100000,24341921
US1.CSCO,D,20150512,000000,29.0700000,29.4400000,28.8000000,29.2200000,27524107
US1.CSCO,D,20150513,000000,29.1400000,29.4650000,29.1300000,29.3500000,31395535
US1.CSCO,D,20150514,000000,29.2900000,29.6600000,28.9650000,29.0400000,49003362
US1.CSCO,D,20150515,000000,29.2400000,29.8200000,29.1600000,29.5400000,32259792
US1.CSCO,D,20150518,000000,29.4200000,29.9000000,29.4200000,29.7500000,20823003
US1.CSCO,D,20150519,000000,29.8800000,29.9000000,29.6300000,29.7300000,16097915
US1.CSCO,D,20150520,000000,29.7700000,29.8500000,29.5300000,29.6200000,17098690
US1.CSCO,D,20150521,000000,29.6000000,29.7650000,29.4400000,29.4400000,17272499
US1.CSCO,D,20150522,000000,29.3900000,29.4500000,29.2600000,29.2600000,15945358
US1.CSCO,D,20150526,000000,29.2000000,29.2600000,28.7500000,28.9400000,17607547
US1.CSCO,D,20150527,000000,29.0700000,29.4800000,29.0200000,29.3100000,18421489
US1.CSCO,D,20150528,000000,29.3400000,29.5600000,29.1600000,29.3500000,16074081
US1.CSCO,D,20150529,000000,29.3200000,29.5900000,29.1900000,29.3200000,20739687
US1.CSCO,D,20150601,000000,29.6000000,29.6200000,29.0500000,29.1900000,21356550
US1.CSCO,D,20150602,000000,29.0900000,29.2700000,28.9500000,29.0900000,13941937
US1.CSCO,D,20150603,000000,29.2100000,29.2950000,29.0500000,29.0900000,18340690
US1.CSCO,D,20150604,000000,28.9000000,29.1000000,28.5400000,28.6300000,22977385
US1.CSCO,D,20150605,000000,28.5500000,28.7100000,28.4900000,28.5800000,21773071
US1.CSCO,D,20150608,000000,28.6700000,28.7000000,28.2300000,28.2700000,16886394
US1.CSCO,D,20150609,000000,28.2700000,28.4200000,28.0100000,28.2400000,13103474
US1.CSCO,D,20150610,000000,28.4900000,28.9100000,28.2700000,28.6600000,19992469
US1.CSCO,D,20150611,000000,28.7500000,29.2200000,28.7500000,28.8700000,21154308
US1.CSCO,D,20150612,000000,28.6300000,28.6600000,28.3100000,28.5400000,19343854
US1.CSCO,D,20150615,000000,28.2300000,28.5200000,28.1100000,28.4800000,16757092
US1.CSCO,D,20150616,000000,28.3500000,28.7900000,28.2800000,28.7200000,14452579
US1.CSCO,D,20150617,000000,28.8400000,29.0400000,28.6600000,28.9350000,16962047
US1.CSCO,D,20150618,000000,28.8500000,29.3500000,28.8200000,29.2000000,20910695
US1.CSCO,D,20150619,000000,29.2500000,29.3200000,28.9400000,29.0300000,23485283
US1.CSCO,D,20150622,000000,29.1000000,29.2150000,28.8200000,28.9500000,17944312
US1.CSCO,D,20150623,000000,29.0000000,29.0360000,28.6200000,28.7900000,19094821
US1.CSCO,D,20150624,000000,28.7900000,28.8500000,28.4900000,28.5300000,14948928
US1.CSCO,D,20150625,000000,28.5600000,28.6500000,28.3800000,28.4000000,12601016
US1.CSCO,D,20150626,000000,28.4800000,28.4900000,28.0100000,28.2900000,19521815
US1.CSCO,D,20150629,000000,27.9900000,28.1100000,27.5000000,27.5350000,26149230
US1.CSCO,D,20150630,000000,27.7700000,27.8300000,27.3300000,27.4700000,24959498
US1.CSCO,D,20150701,000000,27.4200000,27.5000000,27.0700000,27.3500000,21912588
US1.CSCO,D,20150702,000000,27.3600000,27.5700000,27.2900000,27.3250000,13552271
US1.CSCO,D,20150706,000000,27.0000000,27.2600000,26.8900000,27.2150000,19546739
US1.CSCO,D,20150707,000000,27.2200000,27.4500000,26.8850000,27.3600000,22594866
US1.CSCO,D,20150708,000000,27.0600000,27.1600000,26.8400000,26.9900000,25572794
US1.CSCO,D,20150709,000000,27.3800000,27.4500000,26.9000000,26.9100000,18046620
US1.CSCO,D,20150710,000000,27.2700000,27.3600000,27.0400000,27.2600000,13887935
US1.CSCO,D,20150713,000000,27.4900000,27.8000000,27.4200000,27.7850000,15701533
US1.CSCO,D,20150714,000000,27.8800000,28.0400000,27.7000000,28.0300000,17405684
US1.CSCO,D,20150715,000000,27.8400000,28.2400000,27.8100000,28.1100000,19636631
US1.CSCO,D,20150716,000000,28.3200000,28.4200000,28.2100000,28.3200000,18141220
US1.CSCO,D,20150717,000000,28.2800000,28.3100000,27.9650000,28.1800000,20281108
US1.CSCO,D,20150720,000000,28.1200000,28.1600000,27.8800000,28.0300000,17137474
US1.CSCO,D,20150721,000000,27.9600000,28.2500000,27.7900000,27.8500000,20777862
US1.CSCO,D,20150722,000000,27.8900000,28.0600000,27.4400000,27.5300000,24552107
US1.CSCO,D,20150723,000000,27.7000000,28.2500000,27.5750000,28.0100000,29718865
US1.CSCO,D,20150724,000000,28.4600000,28.7700000,28.3800000,28.3900000,35060719
US1.CSCO,D,20150727,000000,28.3000000,28.5600000,28.1900000,28.2100000,23306383
US1.CSCO,D,20150728,000000,28.3400000,28.3500000,27.8500000,28.2100000,21123369
US1.CSCO,D,20150729,000000,28.2000000,28.5200000,28.0200000,28.3900000,19025906
US1.CSCO,D,20150730,000000,28.3000000,28.4600000,28.2000000,28.3000000,15764302
US1.CSCO,D,20150731,000000,28.3900000,28.5600000,28.1600000,28.4300000,17184898
US1.CSCO,D,20150803,000000,28.4100000,28.5900000,28.1100000,28.3600000,15681910
US1.CSCO,D,20150804,000000,28.2200000,28.4600000,27.8900000,28.0400000,16183379
US1.CSCO,D,20150805,000000,28.2300000,28.6000000,28.1000000,28.2700000,16647262
US1.CSCO,D,20150806,000000,28.3700000,28.6700000,28.0000000,28.2100000,17253669
US1.CSCO,D,20150807,000000,28.1700000,28.2300000,27.9000000,28.1700000,14394417
US1.CSCO,D,20150810,000000,28.4400000,28.7000000,28.2700000,28.6000000,20204631
US1.CSCO,D,20150811,000000,28.2400000,28.3900000,27.8500000,28.0300000,21103280
US1.CSCO,D,20150812,000000,27.8000000,28.1000000,27.4100000,27.8800000,33421918
US1.CSCO,D,20150813,000000,28.7600000,29.2050000,28.6900000,28.7100000,57421884
US1.CSCO,D,20150814,000000,28.7800000,29.0500000,28.7500000,29.0250000,20669329
US1.CSCO,D,20150817,000000,28.6500000,28.9650000,28.5100000,28.8250000,19590321
US1.CSCO,D,20150818,000000,28.7100000,28.7200000,28.1800000,28.2450000,27660160
US1.CSCO,D,20150819,000000,28.1000000,28.2400000,27.7200000,27.8000000,26540363
US1.CSCO,D,20150820,000000,27.5300000,27.7500000,27.0400000,27.0400000,33266369
US1.CSCO,D,20150821,000000,26.8800000,27.3400000,26.4700000,26.4900000,42772130
US1.CSCO,D,20150824,000000,24.8900000,26.0800000,23.0300000,25.1700000,50403109
US1.CSCO,D,20150825,000000,25.9400000,25.9900000,24.6000000,24.6300000,35283642
US1.CSCO,D,20150826,000000,25.2900000,25.7400000,24.7050000,25.6900000,47681641
US1.CSCO,D,20150827,000000,26.0000000,26.1900000,25.6100000,26.1800000,31237344
US1.CSCO,D,20150828,000000,25.9000000,26.0500000,25.8200000,26.0100000,21237889
US1.CSCO,D,20150831,000000,25.9300000,26.1100000,25.7400000,25.8700000,24416406
US1.CSCO,D,20150901,000000,25.2100000,25.6200000,25.0100000,25.1300000,28927592
US1.CSCO,D,20150902,000000,25.5600000,25.6600000,25.0800000,25.6600000,24994824
US1.CSCO,D,20150903,000000,25.9100000,26.1500000,25.7300000,25.9000000,24876066
US1.CSCO,D,20150904,000000,25.4200000,25.6500000,25.3500000,25.5000000,23541834
