<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US1.DIS,D,20150102,000000,94.9100000,95.2800000,92.8486000,93.7200000,4502695
US1.DIS,D,20150105,000000,93.2800000,93.3500000,91.7800000,92.4400000,6590742
US1.DIS,D,20150106,000000,92.5700000,93.1910000,91.4400000,91.9100000,5746891
US1.DIS,D,20150107,000000,92.7200000,93.1500000,92.1000000,92.8000000,5576540
US1.DIS,D,20150108,000000,93.8700000,94.3000000,93.5550000,93.7600000,6474299
US1.DIS,D,20150109,000000,94.0500000,95.2700000,93.9900000,94.3000000,7331137
US1.DIS,D,20150112,000000,94.6900000,94.7600000,93.7700000,94.4800000,5836814
US1.DIS,D,20150113,000000,95.2600000,96.4300000,94.7000000,95.2300000,8131458
US1.DIS,D,20150114,000000,94.0000000,94.8000000,93.2900000,94.1900000,5298692
US1.DIS,D,20150115,000000,94.6100000,94.9600000,94.0400000,94.3600000,4862670
US1.DIS,D,20150116,000000,94.0000000,95.2300000,93.9800000,95.1700000,5146010
US1.DIS,D,20150120,000000,95.2200000,95.3900000,93.7500000,94.7600000,6319701
US1.DIS,D,20150121,000000,94.3700000,94.7000000,93.8200000,94.1800000,6116313
US1.DIS,D,20150122,000000,94.5800000,95.3900000,94.0100000,95.1400000,5990936
US1.DIS,D,20150123,000000,94.9200000,95.5300000,94.4300000,94.6900000,3949994
US1.DIS,D,20150126,000000,94.4500000,95.0000000,93.9300000,94.9700000,4760034
US1.DIS,D,20150127,000000,93.9400000,94.7400000,93.3610000,94.0000000,4562244
US1.DIS,D,20150128,000000,94.1400000,94.4700000,92.6100000,92.6800000,5296894
US1.DIS,D,20150129,000000,93.1100000,93.5000000,91.5200000,93.2300000,6803202
US1.DIS,D,20150130,000000,92.5000000,92.9375000,90.8300000,91.0000000,8262536
US1.DIS,D,20150202,000000,91.3000000,92.0500000,90.0600000,91.9299000,7379927
US1.DIS,D,20150203,000000,92.4300000,94.1100000,92.1900000,94.0900000,9564391
US1.DIS,D,20150204,000000,99.4000000,101.9400000,98.8200000,101.3100000,29687002
US1.DIS,D,20150205,000000,100.7600000,102.8400000,100.5100000,102.6400000,12516599
US1.DIS,D,20150206,000000,102.6700000,102.9900000,101.6500000,102.0300000,7609842
US1.DIS,D,20150209,000000,101.8700000,102.5000000,101.4500000,101.7200000,4183092
US1.DIS,D,20150210,000000,101.9600000,102.1900000,101.1800000,101.8900000,4875769
US1.DIS,D,20150211,000000,102.0100000,102.0200000,101.0700000,101.8000000,4432353
US1.DIS,D,20150212,000000,102.1600000,103.8500000,101.7000000,103.5900000,5733014
US1.DIS,D,20150213,000000,103.7300000,104.4050000,103.4300000,104.1900000,4436065
US1.DIS,D,20150217,000000,104.2300000,104.4500000,103.5700000,104.0800000,3767631
US1.DIS,D,20150218,000000,103.4000000,104.3300000,103.4000000,103.8500000,3071932
US1.DIS,D,20150219,000000,104.0000000,104.0800000,103.5500000,103.9300000,3431947
US1.DIS,D,20150220,000000,103.8600000,104.6900000,102.7302000,104.5400000,4202417
US1.DIS,D,20150223,000000,104.7600000,105.2300000,104.4400000,104.9400000,4165606
US1.DIS,D,20150224,000000,104.5400000,105.0500000,104.3500000,104.6900000,3231211
US1.DIS,D,20150225,000000,104.6800000,105.9800000,104.6700000,105.5600000,5097385
US1.DIS,D,20150226,000000,105.5000000,105.7100000,104.1400000,104.5300000,4076092
US1.DIS,D,20150227,000000,104.6700000,105.1396000,103.9600000,104.0600000,2694726
US1.DIS,D,20150302,000000,104.3500000,105.9800000,104.3500000,105.8400000,3892661
US1.DIS,D,20150303,000000,105.7800000,106.6400000,105.2100000,106.3500000,3796802
US1.DIS,D,20150304,000000,105.8600000,106.0000000,104.7800000,105.5600000,3640262
US1.DIS,D,20150305,000000,105.5400000,105.8100000,104.8700000,105.0300000,2919016
US1.DIS,D,20150306,000000,104.6700000,105.0000000,103.4900000,103.8200000,4429907
US1.DIS,D,20150309,000000,103.9400000,105.4200000,103.8200000,105.2500000,4056250
US1.DIS,D,20150310,000000,104.2700000,104.3500000,103.1200000,103.2310000,5094415
US1.DIS,D,20150311,000000,103.5100000,103.9999000,102.8650000,102.8900000,3327065
US1.DIS,D,20150312,000000,103.8500000,107.3300000,103.8100000,107.1600000,9037728
US1.DIS,D,20150313,000000,107.2800000,107.2800000,105.5200000,106.4200000,6532773
US1.DIS,D,20150316,000000,106.8400000,107.7300000,106.0500000,107.3400000,5104089
US1.DIS,D,20150317,000000,107.0000000,107.2100000,106.1500000,106.9900000,3659695
US1.DIS,D,20150318,000000,106.9000000,108.4200000,105.7300000,107.9845000,4262457
US1.DIS,D,20150319,000000,107.8400000,108.4800000,107.1400000,107.3800000,3379736
US1.DIS,D,20150320,000000,107.8300000,108.9400000,107.5000000,108.4300000,6363925
US1.DIS,D,20150323,000000,108.6000000,108.8500000,108.0400000,108.2300000,3758073
US1.DIS,D,20150324,000000,107.7200000,108.0500000,107.0800000,107.1300000,3582123
US1.DIS,D,20150325,000000,107.4500000,107.4500000,105.0000000,105.0200000,5418670
US1.DIS,D,20150326,000000,104.4700000,105.8200000,104.1000000,105.2600000,4667586
US1.DIS,D,20150327,000000,105.2000000,106.4500000,104.8800000,105.4400000,4320754
US1.DIS,D,20150330,000000,106.0600000,106.9450000,106.0500000,106.1300000,3053389
US1.DIS,D,20150331,000000,105.6000000,106.3200000,104.9200000,104.9299000,4125598
US1.DIS,D,20150401,000000,105.4900000,106.0000000,104.2500000,105.4500000,4639620
US1.DIS,D,20150402,000000,105.4900000,106.2400000,104.8630000,105.9500000,2871778
US1.DIS,D,20150406,000000,105.3100000,106.5700000,105.0400000,105.6400000,3031601
US1.DIS,D,20150407,000000,105.8000000,106.4100000,105.4000000,105.4000000,2924014
US1.DIS,D,20150408,000000,105.2300000,106.6900000,105.1600000,106.3400000,3430110
US1.DIS,D,20150409,000000,106.5100000,107.0000000,105.8800000,106.7600000,3315409
US1.DIS,D,20150410,000000,106.7300000,107.1000000,106.4100000,106.9700000,2629573
US1.DIS,D,20150413,000000,107.0700000,107.9000000,106.4700000,106.5200000,3430178
US1.DIS,D,20150414,000000,106.4100000,107.3000000,106.1100000,106.6800000,4357178
US1.DIS,D,20150415,000000,106.9200000,107.4300000,106.8600000,106.9600000,3487163
US1.DIS,D,20150416,000000,107.3200000,108.3000000,106.9000000,108.1000000,5463527
US1.DIS,D,20150417,000000,107.8000000,107.8000000,106.0400000,106.7000000,6608369
US1.DIS,D,20150420,000000,107.8300000,108.5000000,107.3200000,108.2000000,6503172
US1.DIS,D,20150421,000000,108.9300000,108.9900000,107.5800000,107.7000000,3728158
US1.DIS,D,20150422,000000,108.0200000,108.2500000,106.9700000,107.9300000,3263059
US1.DIS,D,20150423,000000,107.9600000,109.9000000,107.6100000,109.0100000,5063352
US1.DIS,D,20150424,000000,109.5300000,110.4800000,109.1900000,109.5400000,5274365
US1.DIS,D,20150427,000000,111.5000000,111.6600000,110.0700000,110.1900000,6948310
US1.DIS,D,20150428,000000,110.7500000,111.1499000,108.8900000,109.9200000,6038285
US1.DIS,D,20150429,000000,109.6600000,110.3800000,109.2600000,109.8000000,4108904
US1.DIS,D,20150430,000000,109.6800000,110.1900000,107.6800000,108.7500000,6037144
US1.DIS,D,20150501,000000,109.9500000,110.6700000,109.2700000,110.5100000,5016331
US1.DIS,D,20150504,000000,111.4800000,111.5300000,110.5000000,111.0200000,6064069
US1.DIS,D,20150505,000000,113.3000000,113.3000000,110.5600000,110.7800000,12201642
US1.DIS,D,20150506,000000,111.5600000,111.9600000,109.2200000,109.7300000,7712794
US1.DIS,D,20150507,000000,109.6000000,109.7800000,108.7150000,109.2700000,6659563
US1.DIS,D,20150508,000000,110.2600000,110.7000000,109.5700000,110.1000000,4990098
US1.DIS,D,20150511,000000,110.1400000,110.1400000,108.4900000,108.5600000,5282731
US1.DIS,D,20150512,000000,108.2800000,109.6600000,107.6700000,109.2500000,5307799
US1.DIS,D,20150513,000000,109.8300000,109.8700000,108.7800000,109.1700000,3379152
US1.DIS,D,20150514,000000,109.6900000,110.0000000,109.0100000,109.8900000,3825568
US1.DIS,D,20150515,000000,110.1000000,110.6900000,109.6800000,110.3000000,4544758
US1.DIS,D,20150518,000000,110.4700000,110.7400000,110.0100000,110.3300000,4110021
US1.DIS,D,20150519,000000,110.6900000,110.9899000,110.4705000,110.5800000,3595153
US1.DIS,D,20150520,000000,110.7800000,110.8100000,110.0200000,110.2100000,3558706
US1.DIS,D,20150521,000000,110.0400000,110.6400000,109.9000000,110.4100000,3346178
US1.DIS,D,20150522,000000,110.3000000,110.9000000,110.1203000,110.2700000,2915100
US1.DIS,D,20150526,000000,110.1700000,110.8500000,108.7600000,109.4700000,4667563
US1.DIS,D,20150527,000000,109.5100000,110.6100000,109.3000000,110.3800000,3098488
US1.DIS,D,20150528,000000,110.1100000,110.5400000,109.6000000,110.5400000,2642871
US1.DIS,D,20150529,000000,110.3300000,110.5200000,109.4100000,110.3300000,3698765
US1.DIS,D,20150601,000000,111.4800000,111.7700000,110.5500000,110.9300000,5502737
