<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US1.JNJ,D,20150102,000000,105.0500000,105.5500000,104.1300000,104.4900000,4238382
US1.JNJ,D,20150105,000000,104.4800000,104.7300000,103.6820000,103.8500000,6135505
US1.JNJ,D,20150106,000000,104.3400000,104.9900000,102.9400000,103.2500000,6174712
US1.JNJ,D,20150107,000000,103.9100000,105.8300000,103.8100000,105.5600000,6744677
US1.JNJ,D,20150108,000000,106.0600000,106.4900000,105.7500000,106.3800000,7432752
US1.JNJ,D,20150109,000000,106.4900000,106.5000000,104.7500000,104.9600000,5815777
US1.JNJ,D,20150112,000000,105.1700000,105.8200000,104.3000000,104.6000000,5575968
US1.JNJ,D,20150113,000000,105.4400000,106.3300000,104.2400000,104.7400000,8180130
US1.JNJ,D,20150114,000000,103.8600000,104.4300000,103.5100000,103.9800000,7451864
US1.JNJ,D,20150115,000000,102.9700000,103.9300000,101.9500000,102.5400000,9433385
US1.JNJ,D,20150116,000000,102.0600000,104.6200000,102.0000000,103.9200000,12128846
US1.JNJ,D,20150120,000000,101.5500000,102.0500000,100.2600000,101.1900000,16969990
US1.JNJ,D,20150121,000000,100.5600000,102.1000000,100.4000000,101.9400000,10340783
US1.JNJ,D,20150122,000000,102.3900000,103.8300000,101.5700000,103.7700000,7731301
US1.JNJ,D,20150123,000000,102.9400000,102.9700000,101.9397000,102.1800000,8389005
US1.JNJ,D,20150126,000000,101.8000000,102.4500000,101.2100000,102.1800000,6858198
US1.JNJ,D,20150127,000000,101.8300000,102.7671000,100.9300000,102.1290000,8687050
US1.JNJ,D,20150128,000000,102.4800000,102.9300000,101.4400000,101.4900000,6967401
US1.JNJ,D,20150129,000000,101.5100000,102.4600000,100.6700000,102.4100000,6170092
US1.JNJ,D,20150130,000000,101.5800000,102.0000000,100.0900000,100.2000000,7132523
US1.JNJ,D,20150202,000000,100.4900000,100.8500000,99.3800000,100.8300000,7607817
US1.JNJ,D,20150203,000000,101.4000000,102.5600000,101.1200000,102.4400000,8525924
US1.JNJ,D,20150204,000000,102.1200000,102.4500000,101.0200000,101.3300000,8035984
US1.JNJ,D,20150205,000000,101.5700000,102.5600000,101.4600000,102.4500000,5635593
US1.JNJ,D,20150206,000000,102.1100000,102.4500000,100.8300000,101.0700000,7675506
US1.JNJ,D,20150209,000000,101.0600000,101.0600000,99.1000000,99.7500000,8552040
US1.JNJ,D,20150210,000000,100.1900000,100.7000000,99.4250000,100.3300000,10327496
US1.JNJ,D,20150211,000000,100.4600000,100.7900000,99.9500000,100.3800000,6355122
US1.JNJ,D,20150212,000000,100.5000000,100.5400000,97.1500000,98.4200000,22070165
US1.JNJ,D,20150213,000000,98.4400000,99.6700000,98.3300000,99.5900000,9778145
US1.JNJ,D,20150217,000000,99.3900000,100.4800000,99.1200000,100.3550000,6425402
US1.JNJ,D,20150218,000000,100.7000000,100.9400000,99.3800000,99.9300000,6616113
US1.JNJ,D,20150219,000000,99.9500000,100.8400000,99.6100000,100.7300000,7371870
US1.JNJ,D,20150220,000000,100.2200000,100.3660000,99.1100000,100.2500000,8526264
US1.JNJ,D,20150223,000000,100.7400000,100.7700000,99.8000000,100.1800000,5553171
US1.JNJ,D,20150224,000000,100.2500000,101.0500000,100.0000000,100.6900000,5257129
US1.JNJ,D,20150225,000000,100.9400000,101.2900000,100.1600000,101.1800000,8181703
US1.JNJ,D,20150226,000000,101.3800000,103.1800000,101.2200000,102.8300000,9603895
US1.JNJ,D,20150227,000000,103.0400000,103.3300000,102.4800000,102.5100000,6106999
US1.JNJ,D,20150302,000000,102.8600000,103.4100000,102.7000000,103.1900000,5344077
US1.JNJ,D,20150303,000000,103.1000000,103.1000000,101.8100000,102.3200000,5295442
US1.JNJ,D,20150304,000000,102.1200000,102.2800000,101.1700000,101.6200000,5797196
US1.JNJ,D,20150305,000000,102.0700000,103.2100000,102.0000000,102.5400000,6818515
US1.JNJ,D,20150306,000000,102.0900000,102.4300000,99.8800000,100.0900000,7383252
US1.JNJ,D,20150309,000000,100.2000000,100.9200000,99.7600000,100.6600000,4586025
US1.JNJ,D,20150310,000000,99.9900000,100.4400000,99.5100000,99.5900000,6382550
US1.JNJ,D,20150311,000000,99.8300000,99.8700000,98.2200000,98.3500000,7392291
US1.JNJ,D,20150312,000000,98.9600000,100.2400000,98.8300000,99.8100000,6507568
US1.JNJ,D,20150313,000000,99.8500000,100.0500000,98.6393000,99.2300000,5327640
US1.JNJ,D,20150316,000000,99.7400000,101.0700000,99.7400000,101.0600000,5893042
US1.JNJ,D,20150317,000000,100.1100000,100.5200000,99.4100000,99.8700000,5949399
US1.JNJ,D,20150318,000000,99.8900000,101.7400000,99.1300000,101.4400000,6226741
US1.JNJ,D,20150319,000000,101.0400000,101.9550000,100.9100000,101.7700000,4715999
US1.JNJ,D,20150320,000000,101.8700000,102.9000000,101.7600000,102.3900000,8226965
US1.JNJ,D,20150323,000000,102.4700000,103.3500000,102.2300000,102.9000000,5830909
US1.JNJ,D,20150324,000000,102.8300000,103.2300000,101.9300000,101.9600000,6756029
US1.JNJ,D,20150325,000000,101.8500000,102.5000000,100.3500000,100.3501000,6877210
US1.JNJ,D,20150326,000000,99.9500000,100.8100000,99.5600000,100.1200000,5158304
US1.JNJ,D,20150327,000000,100.2800000,100.9500000,100.1500000,100.3100000,3941828
US1.JNJ,D,20150330,000000,101.2400000,101.8600000,100.7600000,101.5300000,4415864
US1.JNJ,D,20150331,000000,100.9700000,101.4900000,100.5900000,100.6000000,5681864
US1.JNJ,D,20150401,000000,100.4600000,100.4600000,98.6100000,99.1200000,8317010
US1.JNJ,D,20150402,000000,99.4400000,99.9900000,98.8900000,99.6400000,4796684
US1.JNJ,D,20150406,000000,98.8400000,99.5600000,98.0400000,99.1900000,6258536
US1.JNJ,D,20150407,000000,99.5500000,100.8700000,99.4330000,100.1300000,6530538
US1.JNJ,D,20150408,000000,99.8400000,100.4500000,99.6000000,100.1400000,6110187
US1.JNJ,D,20150409,000000,100.5700000,101.6500000,100.3300000,101.3300000,6805805
US1.JNJ,D,20150410,000000,101.3300000,102.1400000,100.9300000,102.0600000,5419879
US1.JNJ,D,20150413,000000,101.5400000,101.9800000,100.5600000,100.6500000,8841788
US1.JNJ,D,20150414,000000,101.0500000,101.4600000,100.1850000,100.5500000,7486339
