<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US1.KO,D,20150102,000000,42.2600000,42.4000000,41.8000000,42.1400000,8043337
US1.KO,D,20150105,000000,42.6900000,42.9700000,42.0800000,42.1600000,21904435
US1.KO,D,20150106,000000,42.4100000,42.9400000,42.2400000,42.4100000,14378348
US1.KO,D,20150107,000000,42.8000000,43.1100000,42.5800000,42.9800000,11591825
US1.KO,D,20150108,000000,43.1800000,43.5700000,43.1000000,43.4900000,17899507
US1.KO,D,20150109,000000,43.4700000,43.5600000,42.9500000,43.0200000,9567179
US1.KO,D,20150112,000000,43.0700000,43.1950000,42.4600000,42.6300000,9878804
US1.KO,D,20150113,000000,42.8300000,43.2400000,42.4520000,42.6400000,11014710
US1.KO,D,20150114,000000,42.0800000,42.6000000,42.0700000,42.5500000,11338459
US1.KO,D,20150115,000000,42.8300000,42.8600000,42.1700000,42.3800000,9562013
US1.KO,D,20150116,000000,42.3600000,42.5900000,42.2400000,42.5200000,12476435
US1.KO,D,20150120,000000,42.7000000,43.3250000,42.6100000,43.1700000,13223813
US1.KO,D,20150121,000000,42.8900000,43.4300000,42.7600000,43.3700000,8397477
US1.KO,D,20150122,000000,43.3700000,43.8300000,43.0744000,43.7800000,12273161
US1.KO,D,20150123,000000,43.6000000,43.7500000,43.1800000,43.3100000,10860686
US1.KO,D,20150126,000000,43.1800000,43.2300000,42.8300000,43.0000000,8410600
US1.KO,D,20150127,000000,42.5400000,42.6400000,42.1500000,42.4300000,13516150
US1.KO,D,20150128,000000,42.5900000,42.7950000,41.9000000,41.9400000,11495839
US1.KO,D,20150129,000000,41.7700000,42.1500000,41.4700000,42.1000000,11811387
US1.KO,D,20150130,000000,41.8300000,41.9300000,41.1100000,41.1800000,13609972
US1.KO,D,20150202,000000,41.2100000,41.6300000,40.9000000,41.5800000,13375190
US1.KO,D,20150203,000000,41.7500000,41.8500000,41.3700000,41.6200000,11375257
US1.KO,D,20150204,000000,41.7700000,42.0900000,41.6200000,41.6800000,14405834
US1.KO,D,20150205,000000,41.8000000,41.8200000,41.5100000,41.7900000,9610965
US1.KO,D,20150206,000000,41.6300000,41.7600000,41.3200000,41.4700000,10184015
US1.KO,D,20150209,000000,41.3600000,41.4500000,41.0400000,41.2200000,11901583
US1.KO,D,20150210,000000,42.9100000,43.0300000,42.2000000,42.4100000,29013292
US1.KO,D,20150211,000000,42.1000000,42.4900000,41.7000000,42.3600000,18726487
US1.KO,D,20150212,000000,42.4000000,42.6600000,42.0700000,42.1800000,10812362
US1.KO,D,20150213,000000,42.0200000,42.2300000,41.7600000,41.9900000,9079807
US1.KO,D,20150217,000000,41.8100000,41.8800000,41.6400000,41.8000000,10062723
US1.KO,D,20150218,000000,41.7500000,41.8000000,41.4700000,41.7200000,8647861
US1.KO,D,20150219,000000,41.6800000,42.2400000,41.5300000,42.1200000,13870124
US1.KO,D,20150220,000000,42.0400000,42.1100000,41.6400000,41.9700000,13750472
US1.KO,D,20150223,000000,41.7100000,42.1700000,41.6900000,41.8600000,10451879
US1.KO,D,20150224,000000,41.8500000,42.3300000,41.7700000,42.1500000,11566636
US1.KO,D,20150225,000000,42.1700000,42.2400000,41.7400000,42.0500000,9035566
US1.KO,D,20150226,000000,42.0400000,42.5500000,41.9700000,42.4800000,11165510
US1.KO,D,20150227,000000,42.5200000,43.6600000,42.4700000,43.3000000,22132571
