<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US1.MSFT,D,20150102,000000,46.6600000,47.4200000,46.5400000,46.7500000,23919067
US1.MSFT,D,20150105,000000,46.3700000,46.7300000,46.2500000,46.3300000,30963472
US1.MSFT,D,20150106,000000,46.3800000,46.7490000,45.5400000,45.6000000,31057133
US1.MSFT,D,20150107,000000,45.9800000,46.4600000,45.4900000,46.2300000,24942903
US1.MSFT,D,20150108,000000,46.7500000,47.7499000,46.7200000,47.5900000,24729997
US1.MSFT,D,20150109,000000,47.6100000,47.8200000,46.9000000,47.1900000,20544429
US1.MSFT,D,20150112,000000,47.4200000,47.5400000,46.3600000,46.6100000,19623875
US1.MSFT,D,20150113,000000,46.9700000,47.9100000,46.0600000,46.3550000,31380677
US1.MSFT,D,20150114,000000,45.9600000,46.2400000,45.6200000,45.9500000,24719459
US1.MSFT,D,20150115,000000,46.2600000,46.3800000,45.4100000,45.4800000,25941408
US1.MSFT,D,20150116,000000,45.3100000,46.2800000,45.1700000,46.2200000,29930037
US1.MSFT,D,20150120,000000,46.3000000,46.6500000,45.5700000,46.3900000,24427525
US1.MSFT,D,20150121,000000,45.9400000,46.1400000,45.4800000,45.9100000,32479230
US1.MSFT,D,20150122,000000,46.3800000,47.1350000,46.0800000,47.1200000,28855616
US1.MSFT,D,20150123,000000,47.3600000,47.3900000,46.8000000,47.1800000,20171968
US1.MSFT,D,20150126,000000,47.0000000,47.1339000,46.2399000,47.0500000,30607875
US1.MSFT,D,20150127,000000,42.9500000,43.1700000,42.1050000,42.6700000,147451868
US1.MSFT,D,20150128,000000,42.7200000,42.7900000,41.1600000,41.2000000,75577562
US1.MSFT,D,20150129,000000,40.9300000,42.1200000,40.7900000,42.0200000,48671944
US1.MSFT,D,20150130,000000,41.4900000,41.5800000,40.3500000,40.4200000,67718276
US1.MSFT,D,20150202,000000,40.5900000,41.3700000,40.2300000,41.2800000,44326591
US1.MSFT,D,20150203,000000,41.6300000,41.9300000,41.0450000,41.5900000,47094888
US1.MSFT,D,20150204,000000,41.9400000,42.2100000,41.3600000,41.8300000,34934474
US1.MSFT,D,20150205,000000,42.2200000,42.6400000,41.8550000,42.4600000,32378329
US1.MSFT,D,20150206,000000,42.6800000,42.7900000,42.1500000,42.4200000,31229080
US1.MSFT,D,20150209,000000,42.2400000,42.7400000,42.2100000,42.3500000,24595228
US1.MSFT,D,20150210,000000,42.7400000,42.7700000,42.1800000,42.6000000,24588728
US1.MSFT,D,20150211,000000,42.5900000,42.6500000,42.2100000,42.3700000,31025225
US1.MSFT,D,20150212,000000,42.6200000,43.0900000,42.5100000,43.0800000,25339882
US1.MSFT,D,20150213,000000,43.3800000,43.8700000,43.1500000,43.8600000,34902815
US1.MSFT,D,20150217,000000,43.9700000,44.0000000,43.1900000,43.5750000,26068133
US1.MSFT,D,20150218,000000,43.5900000,43.7000000,43.3900000,43.5300000,23392615
US1.MSFT,D,20150219,000000,43.2600000,43.5263000,43.0500000,43.5100000,22409093
US1.MSFT,D,20150220,000000,43.5100000,43.8800000,43.2900000,43.8600000,25593960
US1.MSFT,D,20150223,000000,43.6700000,44.1900000,43.6500000,44.1500000,28465702
US1.MSFT,D,20150224,000000,44.1500000,44.3000000,43.9200000,44.1000000,21662268
US1.MSFT,D,20150225,000000,43.9600000,44.0900000,43.8000000,43.9800000,25033281
US1.MSFT,D,20150226,000000,43.9900000,44.2300000,43.8900000,44.0500000,22437067
US1.MSFT,D,20150227,000000,44.1200000,44.2000000,43.6600000,43.8400000,24811012
US1.MSFT,D,20150302,000000,43.6700000,44.1900000,43.5500000,43.8700000,23857396
US1.MSFT,D,20150303,000000,43.5600000,43.8250000,43.0900000,43.2700000,27750562
US1.MSFT,D,20150304,000000,43.0100000,43.2100000,42.8800000,43.0600000,21661247
US1.MSFT,D,20150305,000000,43.0700000,43.2400000,42.8200000,43.0900000,18533807
US1.MSFT,D,20150306,000000,43.0000000,43.1100000,42.1500000,42.3650000,28991970
US1.MSFT,D,20150309,000000,42.2400000,43.1250000,42.1900000,42.8300000,27988094
US1.MSFT,D,20150310,000000,42.3500000,42.7100000,42.0300000,42.0450000,31273746
US1.MSFT,D,20150311,000000,42.3100000,42.3700000,41.8400000,41.9800000,24947136
US1.MSFT,D,20150312,000000,41.3300000,41.6500000,40.8600000,41.0100000,53593389
US1.MSFT,D,20150313,000000,40.7000000,41.4700000,40.6100000,41.3700000,48980481
US1.MSFT,D,20150316,000000,41.4700000,41.6400000,41.2800000,41.5400000,29695605
US1.MSFT,D,20150317,000000,41.3800000,41.8300000,41.1500000,41.7000000,27092894
US1.MSFT,D,20150318,000000,41.4900000,42.8300000,41.3300000,42.5000000,38068983
US1.MSFT,D,20150319,000000,42.2600000,42.5900000,42.2200000,42.2800000,26782184
US1.MSFT,D,20150320,000000,42.5600000,42.9800000,42.4900000,42.7600000,43745269
US1.MSFT,D,20150323,000000,42.8800000,43.1300000,42.7800000,42.8500000,20633212
US1.MSFT,D,20150324,000000,42.7800000,43.1700000,42.7500000,42.9100000,21184115
US1.MSFT,D,20150325,000000,42.9000000,42.9250000,41.4400000,41.4600000,38829019
US1.MSFT,D,20150326,000000,41.2300000,41.6100000,40.9200000,41.2000000,33727174
US1.MSFT,D,20150327,000000,41.1200000,41.4300000,40.8300000,41.0100000,29546585
US1.MSFT,D,20150330,000000,41.2100000,41.5400000,40.9100000,40.9400000,30834772
US1.MSFT,D,20150331,000000,40.7800000,41.0300000,40.5400000,40.6500000,28187860
US1.MSFT,D,20150401,000000,40.6100000,40.7600000,40.3100000,40.7100000,32784265
US1.MSFT,D,20150402,000000,40.6600000,40.7400000,40.1200000,40.2900000,32297572
US1.MSFT,D,20150406,000000,40.3400000,41.7800000,40.1800000,41.5500000,33640456
US1.MSFT,D,20150407,000000,41.6100000,41.9100000,41.3100000,41.5300000,26160317
US1.MSFT,D,20150408,000000,41.4600000,41.6900000,41.0400000,41.4200000,21684090
US1.MSFT,D,20150409,000000,41.2500000,41.6200000,41.2500000,41.4800000,22535436
US1.MSFT,D,20150410,000000,41.6200000,41.9500000,41.4100000,41.7200000,24595512
US1.MSFT,D,20150413,000000,41.3900000,42.0600000,41.3900000,41.7700000,24088878
US1.MSFT,D,20150414,000000,41.8000000,42.0300000,41.3900000,41.6500000,20908108
US1.MSFT,D,20150415,000000,41.7600000,42.4600000,41.6800000,42.2600000,23149758
US1.MSFT,D,20150416,000000,41.9500000,42.3400000,41.8200000,42.1700000,17811245
US1.MSFT,D,20150417,000000,41.6700000,41.7400000,41.1600000,41.6200000,37681894
US1.MSFT,D,20150420,000000,41.7200000,43.1700000,41.6800000,42.9000000,37823007
US1.MSFT,D,20150421,000000,43.0300000,43.1500000,42.5300000,42.6400000,22953766
US1.MSFT,D,20150422,000000,42.6700000,43.1300000,42.5500000,42.9800000,21088464
US1.MSFT,D,20150423,000000,42.8400000,43.6100000,42.8000000,43.3500000,36757710
US1.MSFT,D,20150424,000000,45.6600000,48.1400000,45.6500000,47.8700000,114199701
US1.MSFT,D,20150427,000000,47.2300000,48.1300000,47.2000000,48.0300000,52855013
US1.MSFT,D,20150428,000000,47.7800000,49.2100000,47.7000000,49.1600000,53637431
US1.MSFT,D,20150429,000000,48.7200000,49.3100000,48.5000000,49.0500000,43322480
US1.MSFT,D,20150430,000000,48.7200000,49.5400000,48.6000000,48.6600000,56868293
US1.MSFT,D,20150501,000000,48.6500000,48.8750000,48.4000000,48.6500000,32394094
US1.MSFT,D,20150504,000000,48.4400000,48.8700000,48.1800000,48.2400000,30330921
US1.MSFT,D,20150505,000000,47.8200000,48.1600000,47.3100000,47.6100000,45944624
US1.MSFT,D,20150506,000000,47.5700000,47.7700000,46.0200000,46.2900000,47535806
US1.MSFT,D,20150507,000000,46.2700000,47.0850000,46.1600000,46.7000000,27047629
US1.MSFT,D,20150508,000000,47.5600000,47.9800000,47.5200000,47.7200000,27853176
US1.MSFT,D,20150511,000000,47.7000000,47.9100000,47.3700000,47.3700000,17344447
US1.MSFT,D,20150512,000000,46.8500000,47.6800000,46.4200000,47.3500000,24033678
US1.MSFT,D,20150513,000000,48.1600000,48.3200000,47.5700000,47.6300000,28547269
US1.MSFT,D,20150514,000000,48.0301000,48.8200000,48.0300000,48.7200000,26846916
US1.MSFT,D,20150515,000000,48.9200000,48.9500000,48.0500000,48.3000000,23425709
US1.MSFT,D,20150518,000000,47.9800000,48.2200000,47.6100000,48.0000000,20390466
US1.MSFT,D,20150519,000000,47.5700000,47.8100000,47.1800000,47.5700000,22470773
US1.MSFT,D,20150520,000000,47.4000000,47.9300000,47.2700000,47.5800000,18414169
US1.MSFT,D,20150521,000000,47.3100000,47.6000000,47.0050000,47.4200000,18676092
US1.MSFT,D,20150522,000000,47.3000000,47.3500000,46.8200000,46.9000000,21501014
US1.MSFT,D,20150526,000000,46.8300000,46.8800000,46.1900000,46.6000000,25221693
US1.MSFT,D,20150527,000000,46.7600000,47.7700000,46.6200000,47.6200000,22293875
US1.MSFT,D,20150528,000000,47.4900000,48.0200000,47.3900000,47.4500000,16530622
US1.MSFT,D,20150529,000000,47.4300000,47.5700000,46.5900000,46.8600000,25465036
US1.MSFT,D,20150601,000000,47.0600000,47.7700000,46.6200000,47.2400000,24324242
US1.MSFT,D,20150602,000000,46.9300000,47.3500000,46.6200000,46.9200000,17566074
US1.MSFT,D,20150603,000000,47.3100000,47.7350000,46.8200000,46.8600000,24620333
US1.MSFT,D,20150604,000000,46.7900000,47.1600000,46.2000000,46.3900000,23385312
US1.MSFT,D,20150605,000000,46.3100000,46.5200000,45.8400000,46.1500000,22347593
US1.MSFT,D,20150608,000000,46.2900000,46.4300000,45.6700000,45.7400000,18383933
US1.MSFT,D,20150609,000000,45.7600000,45.9400000,45.4600000,45.6400000,19037811
US1.MSFT,D,20150610,000000,45.7900000,46.8300000,45.6900000,46.5900000,22045609
US1.MSFT,D,20150611,000000,46.6600000,46.9200000,46.1300000,46.4400000,21685270
US1.MSFT,D,20150612,000000,46.2200000,46.4700000,45.9000000,45.9700000,19159861
US1.MSFT,D,20150615,000000,45.4800000,45.6500000,45.0201000,45.4800000,24940246
US1.MSFT,D,20150616,000000,45.4400000,46.2400000,45.3000000,45.8200000,22844837
US1.MSFT,D,20150617,000000,45.7300000,46.0700000,45.3600000,45.9700000,23986405
US1.MSFT,D,20150618,000000,46.2100000,46.8000000,46.1600000,46.7100000,27720308
US1.MSFT,D,20150619,000000,46.7900000,46.8250000,45.9900000,46.0200000,34078946
US1.MSFT,D,20150622,000000,46.2300000,46.7200000,46.1600000,46.2450000,14794732
US1.MSFT,D,20150623,000000,46.1300000,46.2800000,45.6200000,45.9000000,20168094
US1.MSFT,D,20150624,000000,45.6800000,46.2450000,45.5500000,45.6300000,20852873
US1.MSFT,D,20150625,000000,46.0200000,46.0600000,45.5000000,45.6500000,17783695
US1.MSFT,D,20150626,000000,45.7000000,46.2800000,45.0300000,45.2700000,27589022
US1.MSFT,D,20150629,000000,45.0400000,45.2300000,44.3600000,44.3900000,30173835
US1.MSFT,D,20150630,000000,44.7100000,44.7200000,43.9400000,44.1500000,28308066
US1.MSFT,D,20150701,000000,44.4600000,45.2300000,44.1000000,44.4460000,25263760
US1.MSFT,D,20150702,000000,44.4800000,44.7500000,44.0600000,44.3900000,17885941
US1.MSFT,D,20150706,000000,43.9600000,44.4800000,43.9500000,44.4000000,20666697
US1.MSFT,D,20150707,000000,44.3800000,44.4900000,43.3200000,44.3000000,32452345
US1.MSFT,D,20150708,000000,44.4400000,44.9000000,44.0300000,44.2500000,36430204
US1.MSFT,D,20150709,000000,44.7600000,45.2200000,44.5000000,44.5100000,29503707
US1.MSFT,D,20150710,000000,45.0900000,45.1400000,44.5700000,44.5900000,22346489
US1.MSFT,D,20150713,000000,44.9900000,45.6200000,44.9501000,45.5300000,22292265
US1.MSFT,D,20150714,000000,45.4500000,45.9600000,45.3100000,45.6200000,18938099
US1.MSFT,D,20150715,000000,45.6900000,45.8900000,45.4300000,45.7700000,19569235
US1.MSFT,D,20150716,000000,46.0400000,46.6900000,45.9650000,46.6500000,22878182
US1.MSFT,D,20150717,000000,46.5500000,46.7800000,46.2600000,46.6100000,24489714
US1.MSFT,D,20150720,000000,46.6400000,47.1300000,46.4400000,46.9200000,25323113
US1.MSFT,D,20150721,000000,46.7900000,47.3300000,46.4800000,47.2700000,37020363
US1.MSFT,D,20150722,000000,45.4000000,46.9300000,45.2030000,45.5400000,52519556
US1.MSFT,D,20150723,000000,45.2700000,46.2300000,45.1000000,46.1200000,29366933
US1.MSFT,D,20150724,000000,46.0000000,46.3200000,45.8000000,45.9400000,25268809
US1.MSFT,D,20150727,000000,45.9600000,46.0100000,45.2500000,45.3600000,33481436
US1.MSFT,D,20150728,000000,45.6000000,45.6390000,44.7900000,45.3500000,30224047
US1.MSFT,D,20150729,000000,45.3700000,46.7800000,45.2600000,46.2800000,36674377
US1.MSFT,D,20150730,000000,46.2600000,47.4000000,45.9300000,46.8900000,35633982
US1.MSFT,D,20150731,000000,47.2900000,47.3700000,46.5000000,46.7000000,25799032
US1.MSFT,D,20150803,000000,46.9800000,47.0000000,46.4500000,46.8100000,21886913
US1.MSFT,D,20150804,000000,46.7500000,47.7100000,46.6800000,47.5500000,27696536
US1.MSFT,D,20150805,000000,47.8700000,48.4100000,47.5400000,47.5900000,22769379
US1.MSFT,D,20150806,000000,47.7100000,47.7700000,46.3300000,46.6100000,23703503
US1.MSFT,D,20150807,000000,46.4200000,46.7800000,46.2600000,46.7600000,15888228
US1.MSFT,D,20150810,000000,47.0000000,47.4900000,46.8400000,47.3300000,18415867
US1.MSFT,D,20150811,000000,46.8200000,46.9400000,45.9000000,46.4200000,23682205
US1.MSFT,D,20150812,000000,46.1500000,46.9000000,45.7050000,46.7500000,25977983
US1.MSFT,D,20150813,000000,47.0600000,47.1000000,46.4900000,46.7400000,19395411
US1.MSFT,D,20150814,000000,46.5500000,47.1000000,46.5200000,47.0000000,16165486
US1.MSFT,D,20150817,000000,46.8200000,47.4500000,46.5700000,47.3200000,16629616
US1.MSFT,D,20150818,000000,46.8600000,47.4300000,46.7000000,47.2700000,19344253
US1.MSFT,D,20150819,000000,46.7800000,47.0800000,46.3000000,46.6250000,27811661
US1.MSFT,D,20150820,000000,46.0700000,46.4700000,45.6700000,45.7700000,30620702
US1.MSFT,D,20150821,000000,45.3000000,45.4800000,43.0700000,43.0800000,58663047
US1.MSFT,D,20150824,000000,40.4500000,43.3100000,39.7200000,41.7200000,76225829
US1.MSFT,D,20150825,000000,42.6200000,43.2400000,40.3900000,40.4700000,62217157
US1.MSFT,D,20150826,000000,42.0100000,42.8400000,41.0600000,42.7300000,55919928
US1.MSFT,D,20150827,000000,43.2300000,43.9500000,42.9250000,43.9100000,42724137
US1.MSFT,D,20150828,000000,43.4000000,44.1500000,43.3900000,43.9200000,23456594
US1.MSFT,D,20150831,000000,43.6500000,43.9300000,43.1000000,43.5100000,24384205
US1.MSFT,D,20150901,000000,42.1700000,42.5900000,41.6600000,41.8300000,43145752
US1.MSFT,D,20150902,000000,42.2600000,43.3800000,41.8800000,43.3400000,32113162
US1.MSFT,D,20150903,000000,43.4100000,43.9800000,43.2800000,43.5000000,24813311
US1.MSFT,D,20150904,000000,42.8000000,43.0400000,42.1950000,42.6000000,31689986
US1.MSFT,D,20150908,000000,43.3000000,44.0000000,43.2000000,43.8800000,26942799
US1.MSFT,D,20150909,000000,44.2200000,44.4000000,42.9100000,43.0700000,24071110
US1.MSFT,D,20150910,000000,43.1200000,43.7900000,42.7450000,43.3000000,24269110
US1.MSFT,D,20150911,000000,43.1400000,43.5900000,42.9399000,43.4800000,20184555
US1.MSFT,D,20150914,000000,43.4300000,43.4400000,42.8600000,43.0300000,19231111
US1.MSFT,D,20150915,000000,43.1900000,44.2900000,43.0800000,43.9800000,25061540
US1.MSFT,D,20150916,000000,43.9700000,44.3800000,43.8400000,44.3000000,20444542
US1.MSFT,D,20150917,000000,44.2800000,45.0000000,44.0800000,44.2600000,23851331
US1.MSFT,D,20150918,000000,43.5000000,43.9900000,43.3300000,43.4800000,39608121
US1.MSFT,D,20150921,000000,43.6200000,44.4700000,43.6000000,44.1300000,21376295
US1.MSFT,D,20150922,000000,43.3800000,44.0500000,43.3100000,43.9000000,23941652
