<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US1.NFLX,D,20150102,000000,344.0600000,352.3200000,341.1200000,348.9400000,1497277
US1.NFLX,D,20150105,000000,344.8100000,344.8100000,330.0305000,331.1700000,2091488
US1.NFLX,D,20150106,000000,331.4300000,333.4800000,319.6300000,325.5100000,1850304
US1.NFLX,D,20150107,000000,331.4300000,331.9500000,323.9000000,327.1500000,1138191
US1.NFLX,D,20150108,000000,329.8400000,334.8500000,325.3500000,334.4700000,1089973
US1.NFLX,D,20150109,000000,333.4200000,336.1400000,328.2900000,329.2900000,1128434
US1.NFLX,D,20150112,000000,329.6300000,330.3900000,316.8500000,318.6500000,1547603
US1.NFLX,D,20150113,000000,322.1500000,329.3376000,321.3000000,323.7900000,2354611
US1.NFLX,D,20150114,000000,329.5000000,331.5900000,319.7600000,324.2424000,2374305
US1.NFLX,D,20150115,000000,325.8300000,327.5000000,320.9100000,323.7800000,1406539
US1.NFLX,D,20150116,000000,327.9700000,337.7500000,324.6700000,337.3100000,2432173
US1.NFLX,D,20150120,000000,340.3500000,350.0000000,334.0000000,349.4000000,3086407
US1.NFLX,D,20150121,000000,414.6500000,414.6800000,401.8700000,409.2800000,7411231
US1.NFLX,D,20150122,000000,409.9900000,429.6200000,404.8000000,428.4900000,4005964
US1.NFLX,D,20150123,000000,426.9200000,439.2000000,426.1700000,437.4300000,3238258
US1.NFLX,D,20150126,000000,438.0700000,447.2900000,433.7000000,446.5301000,2524377
US1.NFLX,D,20150127,000000,441.6100000,457.3800000,441.3500000,454.1600000,2958895
US1.NFLX,D,20150128,000000,453.1900000,453.7500000,441.5700000,442.5000000,2916409
US1.NFLX,D,20150129,000000,442.4300000,447.4900000,437.5000000,443.8000000,1805857
US1.NFLX,D,20150130,000000,441.9300000,447.8900000,438.5902000,440.8100000,1461103
US1.NFLX,D,20150202,000000,439.9000000,444.0000000,433.6900000,441.0300000,1436437
US1.NFLX,D,20150203,000000,443.2400000,458.2700000,439.1100000,457.0800000,1937185
US1.NFLX,D,20150204,000000,454.6100000,456.2199000,447.2250000,448.8200000,1430155
US1.NFLX,D,20150205,000000,451.7900000,455.9700000,445.6600000,448.9000000,1629019
US1.NFLX,D,20150206,000000,449.7500000,451.0000000,442.2300000,444.3400000,1060003
US1.NFLX,D,20150209,000000,442.3900000,446.5000000,438.4600000,443.1000000,925655
US1.NFLX,D,20150210,000000,444.2200000,456.1040000,441.7100000,453.9400000,1845130
US1.NFLX,D,20150211,000000,453.8100000,462.9900000,451.9000000,454.8900000,1635796
US1.NFLX,D,20150212,000000,455.4100000,459.2500000,451.1600000,456.7300000,964791
US1.NFLX,D,20150213,000000,458.0000000,466.4100000,457.9599000,466.1800000,1482423
US1.NFLX,D,20150217,000000,465.6100000,471.6000000,461.6100000,469.9700000,1283913
US1.NFLX,D,20150218,000000,469.1600000,476.4900000,466.5200000,475.1800000,1229437
US1.NFLX,D,20150219,000000,475.0000000,481.0000000,473.0200000,474.5900000,1230777
US1.NFLX,D,20150220,000000,475.6500000,478.6212000,473.4600000,478.3300000,1060651
US1.NFLX,D,20150223,000000,477.7400000,478.1999000,470.0000000,471.8200000,1044368
US1.NFLX,D,20150224,000000,471.6100000,476.5847000,471.4900000,474.9500000,698732
US1.NFLX,D,20150225,000000,474.6500000,481.5600000,474.6500000,478.3500000,776598
US1.NFLX,D,20150226,000000,480.3800000,486.4990000,479.0100000,483.2100000,1270056
US1.NFLX,D,20150227,000000,483.5700000,486.0000000,474.7300000,474.9000000,1294826
US1.NFLX,D,20150302,000000,474.0000000,480.2500000,470.6400000,480.2500000,1162557
US1.NFLX,D,20150303,000000,478.4100000,479.1950000,472.5500000,474.8500000,837894
US1.NFLX,D,20150304,000000,472.7100000,475.4800000,463.2800000,469.7700000,2134675
US1.NFLX,D,20150305,000000,472.0000000,472.2495000,464.9400000,467.7400000,1157986
US1.NFLX,D,20150306,000000,466.5000000,468.4814000,453.9100000,454.1200000,1465681
US1.NFLX,D,20150309,000000,454.9300000,455.6500000,439.8000000,445.5200000,2268140
US1.NFLX,D,20150310,000000,441.2100000,443.4600000,433.8800000,435.0700000,2115930
US1.NFLX,D,20150311,000000,435.6800000,447.5840000,435.6800000,440.1900000,2020108
US1.NFLX,D,20150312,000000,443.4300000,452.0800000,443.3800000,448.3100000,1804979
US1.NFLX,D,20150313,000000,447.3500000,448.4000000,436.5700000,438.2600000,1187563
US1.NFLX,D,20150316,000000,430.8300000,430.8300000,417.3400000,421.9100000,3239871
US1.NFLX,D,20150317,000000,418.2100000,424.8600000,415.6900000,418.4100000,2251151
US1.NFLX,D,20150318,000000,418.1700000,424.5500000,415.1000000,423.2400000,1815675
US1.NFLX,D,20150319,000000,423.2200000,428.4839000,421.7900000,425.2000000,1417126
US1.NFLX,D,20150320,000000,429.3600000,432.5000000,426.2700000,428.2900000,1559691
US1.NFLX,D,20150323,000000,426.2300000,428.0900000,422.3110000,425.0000000,881053
US1.NFLX,D,20150324,000000,427.9500000,441.6900000,427.8320000,438.5300000,1978421
US1.NFLX,D,20150325,000000,438.7900000,438.8400000,421.7100000,421.7499000,2669082
US1.NFLX,D,20150326,000000,417.4000000,423.1300000,415.7300000,418.2700000,1930016
US1.NFLX,D,20150327,000000,415.3100000,418.9300000,410.0100000,414.7400000,1937621
US1.NFLX,D,20150330,000000,418.0100000,423.9500000,415.5500000,422.5000000,1640886
US1.NFLX,D,20150331,000000,420.7700000,422.9399000,416.1900000,416.6900000,1700122
US1.NFLX,D,20150401,000000,417.5000000,418.5000000,410.9200000,412.9100000,1787111
US1.NFLX,D,20150402,000000,413.5000000,417.2500000,412.0300000,414.0800000,1204897
US1.NFLX,D,20150406,000000,411.3800000,423.1300000,409.2500000,422.3200000,1197056
US1.NFLX,D,20150407,000000,423.4800000,425.9400000,420.3000000,423.5600000,1182593
US1.NFLX,D,20150408,000000,428.4100000,441.7500000,428.2920000,441.5000000,2693658
US1.NFLX,D,20150409,000000,441.0000000,441.9500000,434.8000000,439.5300000,1592690
US1.NFLX,D,20150410,000000,450.7800000,454.9700000,447.6300000,454.7400000,2622604
US1.NFLX,D,20150413,000000,470.6800000,485.0000000,469.4000000,474.6800000,5211872
US1.NFLX,D,20150414,000000,482.0000000,484.0000000,471.9500000,478.7100000,3363927
US1.NFLX,D,20150415,000000,480.9300000,480.9300000,471.5480000,475.7400000,3092796
US1.NFLX,D,20150416,000000,532.0000000,568.7500000,530.0000000,562.0500000,12222248
US1.NFLX,D,20150417,000000,558.4500000,575.0000000,558.0000000,571.6900000,6960169
US1.NFLX,D,20150420,000000,572.5000000,576.1300000,562.6700000,567.3800000,3393541
US1.NFLX,D,20150421,000000,568.6400000,570.3900000,558.6000000,560.2690000,1817016
US1.NFLX,D,20150422,000000,561.4800000,564.9900000,556.8100000,557.6400000,1376338
US1.NFLX,D,20150423,000000,557.5900000,562.4000000,552.6900000,558.9250000,1452249
US1.NFLX,D,20150424,000000,560.7200000,565.6600000,556.5500000,558.4000000,1179652
US1.NFLX,D,20150427,000000,562.2600000,572.5000000,561.6100000,566.2400000,1763665
US1.NFLX,D,20150428,000000,564.1300000,568.9500000,559.6100000,562.9500000,1011208
US1.NFLX,D,20150429,000000,560.4900000,567.3899000,557.5100000,562.8700000,1109520
US1.NFLX,D,20150430,000000,561.6600000,565.8500000,553.8700000,556.2600000,1201017
US1.NFLX,D,20150501,000000,558.9900000,559.7700000,552.2600000,557.0400000,1008584
US1.NFLX,D,20150504,000000,557.0000000,558.0000000,552.3000000,554.7500000,906666
US1.NFLX,D,20150505,000000,568.6700000,577.1000000,565.3000000,565.3000000,3130376
US1.NFLX,D,20150506,000000,567.2000000,568.5000000,556.6500000,560.6500000,1055783
US1.NFLX,D,20150507,000000,560.8000000,565.5600000,556.2000000,565.2600000,1066715
US1.NFLX,D,20150508,000000,567.2900000,575.0700000,566.7500000,574.6000000,1548967
US1.NFLX,D,20150511,000000,576.2700000,594.0000000,575.3000000,590.0200000,2640578
US1.NFLX,D,20150512,000000,586.6600000,586.6600000,580.9500000,583.7900000,1349233
US1.NFLX,D,20150513,000000,583.8300000,589.3800000,578.8400000,580.1700000,1238669
US1.NFLX,D,20150514,000000,583.0000000,587.4700000,576.3100000,586.9000000,979469
US1.NFLX,D,20150515,000000,604.5100000,618.4388000,600.2900000,613.1600000,4072752
US1.NFLX,D,20150518,000000,612.8100000,619.7390000,609.1700000,617.8900000,1650160
US1.NFLX,D,20150519,000000,622.2200000,628.5000000,614.6700000,616.4900000,1950845
US1.NFLX,D,20150520,000000,617.5000000,623.7600000,611.5400000,621.6300000,1445577
US1.NFLX,D,20150521,000000,623.5700000,627.0000000,617.2700000,622.8600000,1455808
US1.NFLX,D,20150522,000000,623.3700000,625.8500000,620.8500000,621.8600000,838162
US1.NFLX,D,20150526,000000,622.1200000,623.4290000,614.5040000,615.9301000,986837
US1.NFLX,D,20150527,000000,617.0000000,629.3500000,615.5000000,629.0100000,1159332
US1.NFLX,D,20150528,000000,628.0000000,628.9900000,622.5100000,626.3400000,838968
US1.NFLX,D,20150529,000000,626.3100000,631.4400000,622.6900000,624.0700000,1423223
US1.NFLX,D,20150601,000000,621.8600000,623.8520000,615.6100000,622.9000000,1074687
US1.NFLX,D,20150602,000000,620.9800000,627.7500000,618.8400000,623.7500000,851016
US1.NFLX,D,20150603,000000,624.7000000,628.1300000,620.5100000,621.6700000,687159
US1.NFLX,D,20150604,000000,618.6500000,626.0000000,616.3000000,625.5200000,1172628
US1.NFLX,D,20150605,000000,624.5000000,633.7800000,623.8800000,633.2400000,1322043
US1.NFLX,D,20150608,000000,635.0000000,635.7100000,622.9700000,627.2600000,1282975
US1.NFLX,D,20150609,000000,625.3400000,649.0000000,625.3400000,647.3700000,2481723
US1.NFLX,D,20150610,000000,653.7500000,692.7900000,652.5800000,671.4000000,6634291
US1.NFLX,D,20150611,000000,678.2300000,678.4300000,658.6100000,665.7100000,3008877
US1.NFLX,D,20150612,000000,664.4100000,667.4000000,658.8700000,660.8900000,1068505
US1.NFLX,D,20150615,000000,650.0000000,655.1400000,641.6100000,654.0200000,2090795
US1.NFLX,D,20150616,000000,659.7000000,669.2500000,655.8400000,666.9100000,1762657
US1.NFLX,D,20150617,000000,665.9300000,665.9300000,657.7020000,660.0000000,1058610
US1.NFLX,D,20150618,000000,662.5600000,667.3900000,660.5800000,662.7400000,935025
