<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US1.NKE,D,20150102,000000,96.5500000,96.9500000,94.1100000,95.0200000,1961732
US1.NKE,D,20150105,000000,94.5100000,94.5500000,93.1300000,93.5400000,2794652
US1.NKE,D,20150106,000000,93.8900000,94.1500000,92.0700000,92.9700000,3251033
US1.NKE,D,20150107,000000,93.6100000,95.3000000,93.1000000,94.8700000,3105565
US1.NKE,D,20150108,000000,95.9000000,97.1000000,95.6200000,97.0000000,2431615
US1.NKE,D,20150109,000000,96.9300000,96.9900000,95.6000000,96.0300000,1939839
US1.NKE,D,20150112,000000,95.9100000,96.5200000,95.2300000,95.8700000,2280368
US1.NKE,D,20150113,000000,96.3400000,97.4500000,94.6300000,95.0200000,2619170
US1.NKE,D,20150114,000000,93.3800000,94.3700000,92.9100000,93.7100000,2729802
US1.NKE,D,20150115,000000,94.6300000,94.6800000,92.5700000,92.8200000,1745022
US1.NKE,D,20150116,000000,92.7700000,93.1300000,92.0300000,92.9500000,3709770
US1.NKE,D,20150120,000000,93.4400000,93.8900000,92.6200000,93.6350000,3281502
US1.NKE,D,20150121,000000,93.1100000,94.1300000,93.0100000,93.5200000,2447022
US1.NKE,D,20150122,000000,94.3500000,96.1100000,93.5600000,95.8700000,2873249
US1.NKE,D,20150123,000000,96.1400000,96.7500000,95.6500000,96.1600000,2909512
US1.NKE,D,20150126,000000,96.0000000,96.4650000,95.5500000,96.3500000,2192251
US1.NKE,D,20150127,000000,95.3000000,95.4500000,94.1200000,94.5600000,2780564
US1.NKE,D,20150128,000000,95.0000000,95.3200000,93.2500000,93.3200000,2615450
US1.NKE,D,20150129,000000,93.6700000,94.8538000,93.1700000,94.8100000,2652175
US1.NKE,D,20150130,000000,93.9200000,94.3600000,92.1000000,92.2400000,2852442
US1.NKE,D,20150202,000000,92.6800000,92.6900000,90.7700000,91.9200000,3422846
US1.NKE,D,20150203,000000,92.2300000,93.3900000,92.0300000,93.3100000,3377264
US1.NKE,D,20150204,000000,92.7700000,93.2700000,92.2700000,92.5100000,3032218
US1.NKE,D,20150205,000000,92.8800000,93.5900000,92.5600000,93.3300000,2345253
US1.NKE,D,20150206,000000,93.4000000,93.4700000,91.5400000,91.7800000,3130925
US1.NKE,D,20150209,000000,91.5000000,91.7000000,90.6901000,91.1600000,3213004
