<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US1.PEP,D,20150102,000000,94.9300000,95.3400000,94.0480000,94.4500000,2712453
US1.PEP,D,20150105,000000,94.4500000,95.0499000,93.7200000,93.7800000,3986000
US1.PEP,D,20150106,000000,94.0800000,94.6199000,92.9400000,93.0000000,4967318
US1.PEP,D,20150107,000000,95.1300000,96.2300000,94.4300000,95.7300000,5638372
US1.PEP,D,20150108,000000,96.7400000,97.9100000,96.6800000,97.5000000,5650001
US1.PEP,D,20150109,000000,97.5500000,97.6700000,96.5900000,96.8400000,3321029
US1.PEP,D,20150112,000000,96.9500000,97.3400000,96.1900000,96.4300000,3568678
US1.PEP,D,20150113,000000,96.6700000,97.4900000,95.8200000,96.3900000,4606501
US1.PEP,D,20150114,000000,95.4600000,96.8000000,95.4600000,96.6600000,4227984
US1.PEP,D,20150115,000000,97.1400000,97.3200000,96.3800000,96.6700000,3741583
US1.PEP,D,20150116,000000,96.6600000,97.4300000,96.3400000,97.2700000,3175501
US1.PEP,D,20150120,000000,98.3300000,98.3300000,96.8300000,97.5300000,5231360
US1.PEP,D,20150121,000000,97.0200000,98.2200000,96.6000000,97.4000000,4194117
US1.PEP,D,20150122,000000,97.4800000,99.0000000,97.0400000,98.9600000,6673900
US1.PEP,D,20150123,000000,98.3600000,98.9900000,98.1000000,98.5200000,3917792
US1.PEP,D,20150126,000000,98.1900000,98.9500000,97.6700000,98.7100000,3700792
US1.PEP,D,20150127,000000,97.6500000,98.0500000,95.2480000,96.7300000,6418569
US1.PEP,D,20150128,000000,97.2100000,97.7700000,95.6600000,95.7200000,5446268
US1.PEP,D,20150129,000000,95.7200000,96.4800000,94.8700000,96.0500000,3955945
US1.PEP,D,20150130,000000,95.1100000,95.3300000,93.5600000,93.8100000,5887703
US1.PEP,D,20150202,000000,93.8600000,95.4400000,93.6000000,95.3800000,5155897
US1.PEP,D,20150203,000000,96.0200000,96.5600000,95.5800000,96.1600000,4071208
US1.PEP,D,20150204,000000,96.0300000,97.2653000,96.0300000,96.6200000,4420738
US1.PEP,D,20150205,000000,97.2300000,97.2300000,96.4100000,96.6100000,3840255
US1.PEP,D,20150206,000000,96.6800000,97.0600000,96.3542000,96.7000000,3770723
US1.PEP,D,20150209,000000,96.5800000,96.9100000,95.5900000,95.9400000,3628233
US1.PEP,D,20150210,000000,96.7300000,98.1000000,96.3800000,97.9500000,5941623
US1.PEP,D,20150211,000000,100.0500000,100.7600000,99.2000000,100.3900000,8435389
US1.PEP,D,20150212,000000,100.0500000,100.5000000,99.3800000,100.2500000,7582181
US1.PEP,D,20150213,000000,100.1500000,100.1500000,98.9400000,99.1000000,4750984
US1.PEP,D,20150217,000000,98.4500000,98.7100000,98.0000000,98.3400000,4417540
US1.PEP,D,20150218,000000,98.2400000,99.4900000,98.1600000,99.3100000,2894769
US1.PEP,D,20150219,000000,99.3000000,99.5999000,98.5300000,98.7000000,3536594
US1.PEP,D,20150220,000000,98.2200000,99.0700000,97.8300000,99.0500000,3292224
US1.PEP,D,20150223,000000,99.1600000,99.4750000,98.7400000,99.4300000,2409179
US1.PEP,D,20150224,000000,99.4500000,99.9700000,99.1400000,99.6000000,2772454
US1.PEP,D,20150225,000000,99.6800000,99.8199000,98.9101000,99.4900000,2774197
US1.PEP,D,20150226,000000,99.1500000,99.3600000,98.9800000,99.0800000,3488220
US1.PEP,D,20150227,000000,99.2200000,99.3700000,98.9700000,98.9900000,4100653
US1.PEP,D,20150302,000000,98.9000000,99.3000000,98.7300000,99.0000000,2910248
