<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US1.PFE,D,20150102,000000,31.2700000,31.7800000,31.2200000,31.3300000,12667717
US1.PFE,D,20150105,000000,31.3500000,31.4100000,31.0100000,31.1900000,18595001
US1.PFE,D,20150106,000000,31.2700000,31.8600000,31.1200000,31.4500000,25471105
US1.PFE,D,20150107,000000,31.7100000,31.8700000,31.5800000,31.8500000,17183364
US1.PFE,D,20150108,000000,32.3400000,32.6400000,32.2200000,32.5200000,38186000
US1.PFE,D,20150109,000000,32.4800000,32.7000000,32.4200000,32.6550000,20635286
US1.PFE,D,20150112,000000,32.6700000,32.8800000,32.6100000,32.7900000,21079174
US1.PFE,D,20150113,000000,32.8800000,33.2300000,32.1200000,32.4300000,29403359
US1.PFE,D,20150114,000000,32.2100000,32.7200000,32.1300000,32.4900000,24349278
US1.PFE,D,20150115,000000,32.6300000,32.7700000,32.2500000,32.4000000,21144186
US1.PFE,D,20150116,000000,32.2900000,32.8200000,32.2600000,32.7800000,20255026
US1.PFE,D,20150120,000000,32.9700000,33.1100000,32.5400000,33.1000000,28742523
US1.PFE,D,20150121,000000,32.9200000,33.5000000,32.5600000,32.6600000,29748520
US1.PFE,D,20150122,000000,32.6700000,32.8300000,32.0500000,32.8000000,26932425
US1.PFE,D,20150123,000000,32.8700000,32.9000000,32.4300000,32.4500000,22133479
US1.PFE,D,20150126,000000,32.4700000,32.8500000,32.1700000,32.7900000,22362572
US1.PFE,D,20150127,000000,32.3400000,33.3500000,32.3000000,32.6300000,35391001
US1.PFE,D,20150128,000000,32.5700000,33.1400000,31.5100000,31.9600000,26895367
US1.PFE,D,20150129,000000,31.9100000,31.9600000,31.5400000,31.8500000,24767206
US1.PFE,D,20150130,000000,31.6700000,31.8000000,31.2000000,31.2500000,30165875
US1.PFE,D,20150202,000000,31.4300000,31.6500000,31.0200000,31.6500000,19083762
US1.PFE,D,20150203,000000,31.7900000,32.1600000,31.4600000,32.0500000,27486139
US1.PFE,D,20150204,000000,31.9700000,32.2700000,31.7200000,32.0700000,32448100
US1.PFE,D,20150205,000000,33.0400000,33.2000000,32.6000000,33.0100000,52626421
US1.PFE,D,20150206,000000,32.9600000,33.4150000,32.7300000,33.1800000,31145287
US1.PFE,D,20150209,000000,32.9700000,33.3600000,32.8500000,33.0600000,25383129
US1.PFE,D,20150210,000000,33.4800000,34.2200000,33.4100000,34.1400000,46825222
US1.PFE,D,20150211,000000,34.0000000,34.5100000,33.9900000,34.2300000,29988099
US1.PFE,D,20150212,000000,34.2800000,34.9700000,34.2300000,34.8700000,32908952
US1.PFE,D,20150213,000000,34.7000000,34.9500000,34.5100000,34.6400000,19309564
US1.PFE,D,20150217,000000,34.5400000,34.8400000,34.4700000,34.5600000,15922871
US1.PFE,D,20150218,000000,34.4900000,34.5700000,34.2400000,34.4600000,15812497
US1.PFE,D,20150219,000000,34.3300000,34.4700000,34.1100000,34.4100000,18340310
US1.PFE,D,20150220,000000,34.2700000,34.5800000,34.1000000,34.5500000,21294550
US1.PFE,D,20150223,000000,34.1100000,34.5200000,34.0600000,34.3800000,20119055
US1.PFE,D,20150224,000000,34.2200000,34.3400000,34.0825000,34.3300000,15194134
US1.PFE,D,20150225,000000,34.2500000,34.7900000,33.9300000,34.6600000,33207234
US1.PFE,D,20150226,000000,34.5000000,34.7200000,34.3750000,34.5900000,14889624
US1.PFE,D,20150227,000000,34.4400000,34.6600000,34.2900000,34.3200000,18944670
US1.PFE,D,20150302,000000,34.0600000,34.8000000,34.0600000,34.7600000,18407661
US1.PFE,D,20150303,000000,34.7500000,34.8900000,34.4100000,34.5700000,19617692
US1.PFE,D,20150304,000000,34.4900000,34.7699000,34.2600000,34.6400000,16165901
US1.PFE,D,20150305,000000,34.7300000,34.8100000,34.4000000,34.5000000,15946220
US1.PFE,D,20150306,000000,34.2500000,34.4600000,33.7500000,33.9500000,28621055
US1.PFE,D,20150309,000000,33.8700000,34.1800000,33.6600000,34.0800000,22135229
US1.PFE,D,20150310,000000,33.8300000,34.1300000,33.6600000,33.8000000,27501224
US1.PFE,D,20150311,000000,33.9800000,34.1000000,33.6500000,33.6650000,16924055
US1.PFE,D,20150312,000000,33.8100000,34.0600000,33.7750000,33.9900000,20801242
US1.PFE,D,20150313,000000,33.9200000,34.0000000,33.6950000,33.9800000,21390805
US1.PFE,D,20150316,000000,34.0800000,34.5600000,33.9600000,34.4100000,19809117
US1.PFE,D,20150317,000000,34.1200000,34.3000000,33.9400000,34.1700000,18203639
US1.PFE,D,20150318,000000,34.0300000,34.5000000,33.7500000,34.3600000,29678227
US1.PFE,D,20150319,000000,34.2800000,34.3800000,34.0700000,34.1600000,16904516
US1.PFE,D,20150320,000000,34.1300000,34.4700000,33.9800000,34.2600000,32615660
US1.PFE,D,20150323,000000,34.5100000,35.4500000,34.4900000,35.0500000,44903625
US1.PFE,D,20150324,000000,34.9400000,35.0000000,34.5000000,34.5200000,25215153
US1.PFE,D,20150325,000000,34.5900000,35.0000000,34.2700000,34.3000000,24570826
US1.PFE,D,20150326,000000,34.1100000,34.3950000,33.9500000,34.1800000,19404420
US1.PFE,D,20150327,000000,34.4400000,34.5950000,34.2300000,34.5100000,17588376
US1.PFE,D,20150330,000000,34.6000000,35.2200000,34.5500000,35.0100000,19926111
US1.PFE,D,20150331,000000,34.8900000,35.1300000,34.7600000,34.8000000,20059509
