<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US1.PG,D,20150102,000000,90.8400000,91.0000000,89.9200000,90.4300000,5748084
US1.PG,D,20150105,000000,90.2300000,91.0000000,89.8500000,90.0600000,6738413
US1.PG,D,20150106,000000,90.3100000,90.5600000,89.2600000,89.5600000,6432949
US1.PG,D,20150107,000000,89.9400000,90.3700000,89.5626000,90.0400000,4957164
US1.PG,D,20150108,000000,90.4800000,91.2250000,90.1300000,91.0900000,5357949
US1.PG,D,20150109,000000,91.1800000,91.1800000,90.1200000,90.2400000,3724993
US1.PG,D,20150112,000000,90.4750000,90.6200000,89.5050000,89.9100000,4363661
US1.PG,D,20150113,000000,90.7800000,91.5000000,89.7700000,90.3000000,5754969
US1.PG,D,20150114,000000,89.7300000,90.1600000,89.4312000,89.9500000,5360170
US1.PG,D,20150115,000000,90.4900000,90.5000000,89.3400000,89.8600000,5411197
US1.PG,D,20150116,000000,89.9500000,91.3400000,89.8700000,91.1900000,6416346
US1.PG,D,20150120,000000,91.2500000,91.7900000,90.5000000,91.2000000,7934959
US1.PG,D,20150121,000000,90.4000000,91.0100000,89.6300000,90.7700000,5098001
US1.PG,D,20150122,000000,91.0400000,91.6900000,89.8700000,91.6100000,5552845
US1.PG,D,20150123,000000,91.1700000,91.1900000,89.9500000,90.0700000,5559798
US1.PG,D,20150126,000000,89.9400000,89.9500000,88.7400000,89.5100000,7982977
US1.PG,D,20150127,000000,87.1000000,87.2100000,86.0200000,86.4900000,12129303
US1.PG,D,20150128,000000,86.6300000,86.9100000,85.0100000,85.1600000,11944045
US1.PG,D,20150129,000000,85.7800000,86.1100000,85.1500000,85.6700000,9746110
US1.PG,D,20150130,000000,85.0900000,85.2245000,84.2500000,84.3500000,10992621
US1.PG,D,20150202,000000,84.5800000,85.1400000,83.6800000,85.1200000,8445642
US1.PG,D,20150203,000000,85.9500000,86.0000000,85.1200000,85.9000000,9125014
US1.PG,D,20150204,000000,85.8900000,86.4800000,85.5500000,85.7800000,7945070
US1.PG,D,20150205,000000,86.2400000,86.7800000,86.1000000,86.6800000,5425249
US1.PG,D,20150206,000000,86.5600000,86.6100000,85.1500000,85.6000000,7043758
US1.PG,D,20150209,000000,85.3100000,85.4300000,84.5900000,85.0300000,7161223
US1.PG,D,20150210,000000,85.3300000,85.5700000,84.8200000,85.3600000,6070298
US1.PG,D,20150211,000000,85.9500000,86.2000000,85.1449000,85.6200000,6099598
US1.PG,D,20150212,000000,86.0600000,86.1460000,85.4100000,86.0000000,4719034
US1.PG,D,20150213,000000,86.0300000,86.1500000,85.5000000,85.9000000,4714357
US1.PG,D,20150217,000000,86.0600000,86.0600000,85.0000000,85.4000000,7567154
US1.PG,D,20150218,000000,85.7600000,86.3900000,85.5200000,86.2600000,6469134
US1.PG,D,20150219,000000,86.1100000,86.3000000,85.0500000,85.2000000,6413227
US1.PG,D,20150220,000000,84.9500000,85.0500000,84.1900000,84.8700000,7979636
US1.PG,D,20150223,000000,84.9600000,85.5000000,84.6500000,85.4000000,5903103
US1.PG,D,20150224,000000,85.5000000,85.7400000,85.0100000,85.4900000,5239979
US1.PG,D,20150225,000000,85.7000000,85.7950000,85.2399000,85.4500000,5125258
US1.PG,D,20150226,000000,85.4200000,85.7600000,84.8900000,85.1600000,6643544
US1.PG,D,20150227,000000,85.0200000,85.3800000,84.5700000,85.0800000,5428653
US1.PG,D,20150302,000000,85.0200000,85.4100000,84.8400000,85.3900000,5997794
US1.PG,D,20150303,000000,85.3500000,85.4400000,84.5400000,85.1600000,5139244
US1.PG,D,20150304,000000,85.0400000,85.2400000,84.2100000,84.3500000,5950662
US1.PG,D,20150305,000000,84.6200000,84.7600000,84.0900000,84.6400000,4552667
US1.PG,D,20150306,000000,84.3400000,84.3700000,82.3700000,82.6450000,9675324
US1.PG,D,20150309,000000,82.7900000,83.2100000,82.6800000,83.0800000,6038013
US1.PG,D,20150310,000000,82.4700000,82.8800000,81.5700000,81.5900000,7856108
US1.PG,D,20150311,000000,81.5300000,81.7800000,80.8110000,81.4000000,8543695
US1.PG,D,20150312,000000,81.5900000,82.1150000,81.5100000,82.0800000,5652315
US1.PG,D,20150313,000000,81.9800000,82.2800000,81.1500000,81.8200000,5883293
US1.PG,D,20150316,000000,82.0800000,83.9500000,81.9900000,83.5500000,13524393
US1.PG,D,20150317,000000,83.3600000,83.3700000,82.4300000,82.8300000,6054619
US1.PG,D,20150318,000000,82.8600000,84.0500000,82.0200000,83.7200000,9493527
US1.PG,D,20150319,000000,83.4600000,83.7500000,83.1200000,83.3800000,6549000
US1.PG,D,20150320,000000,84.1100000,84.7900000,83.7700000,84.7550000,13494971
US1.PG,D,20150323,000000,84.3700000,85.0500000,84.3600000,84.8200000,7432920
US1.PG,D,20150324,000000,84.8900000,85.1100000,83.8700000,83.9100000,6174631
US1.PG,D,20150325,000000,84.3700000,84.3700000,82.8600000,83.0100000,6722890
US1.PG,D,20150326,000000,82.5800000,82.6100000,81.9500000,82.1500000,5911514
US1.PG,D,20150327,000000,82.0800000,82.5400000,81.9901000,82.2900000,4954631
US1.PG,D,20150330,000000,82.6300000,82.9500000,82.1500000,82.6900000,5147967
US1.PG,D,20150331,000000,82.7700000,82.9300000,81.9600000,81.9600000,6216144
US1.PG,D,20150401,000000,82.3100000,82.4500000,81.4503000,82.3200000,5992473
US1.PG,D,20150402,000000,82.1700000,82.5900000,81.9150000,82.4200000,5021036
US1.PG,D,20150406,000000,81.8400000,83.2250000,81.5100000,83.0300000,5491738
US1.PG,D,20150407,000000,82.9300000,83.2900000,82.3300000,82.3600000,5263441
US1.PG,D,20150408,000000,82.3000000,83.1800000,82.2700000,82.7500000,5346602
US1.PG,D,20150409,000000,82.6300000,82.9500000,82.0100000,82.8900000,5100692
US1.PG,D,20150410,000000,82.8000000,83.6300000,82.7150000,83.3300000,6011598
US1.PG,D,20150413,000000,83.0000000,83.9500000,82.9400000,83.4700000,6440951
US1.PG,D,20150414,000000,83.3900000,83.8800000,83.0500000,83.5900000,5283444
US1.PG,D,20150415,000000,83.8500000,84.2000000,83.4800000,83.4900000,5372337
US1.PG,D,20150416,000000,83.5600000,84.0700000,83.3500000,83.5100000,6367726
US1.PG,D,20150417,000000,83.0000000,83.2200000,82.0300000,82.5600000,6964819
US1.PG,D,20150420,000000,83.0900000,83.9800000,82.8000000,82.8600000,6033192
US1.PG,D,20150421,000000,83.3900000,83.8000000,82.9000000,83.0850000,6800240
US1.PG,D,20150422,000000,83.2200000,83.3400000,82.6000000,83.1100000,5312861
US1.PG,D,20150423,000000,81.4150000,82.1000000,80.9000000,80.9500000,12894820
