<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US1.PM,D,20150102,000000,81.6000000,81.7900000,80.6250000,81.0200000,2951807
US1.PM,D,20150105,000000,80.9900000,81.0900000,79.8600000,80.4300000,4951881
US1.PM,D,20150106,000000,80.9600000,82.0450000,80.6000000,81.0500000,9069243
US1.PM,D,20150107,000000,81.8000000,82.0500000,81.0200000,81.6900000,6301711
US1.PM,D,20150108,000000,82.3200000,83.5800000,82.3100000,82.9800000,5388238
US1.PM,D,20150109,000000,83.5400000,83.6500000,82.4700000,82.7400000,3375628
US1.PM,D,20150112,000000,83.1100000,83.6700000,82.6350000,83.0600000,3471710
US1.PM,D,20150113,000000,83.3200000,83.9800000,82.6700000,83.0850000,5160634
US1.PM,D,20150114,000000,82.2600000,83.4600000,82.2500000,83.4000000,3520215
US1.PM,D,20150115,000000,82.7100000,83.4180000,82.5700000,82.8200000,4357582
US1.PM,D,20150116,000000,82.8500000,83.1950000,82.1900000,82.6800000,5978028
US1.PM,D,20150120,000000,83.2100000,83.9900000,82.8900000,83.5900000,4351511
US1.PM,D,20150121,000000,83.0800000,84.6100000,82.7200000,84.5600000,3566391
US1.PM,D,20150122,000000,85.0400000,85.2900000,84.4300000,85.1500000,4147245
US1.PM,D,20150123,000000,84.6100000,84.7500000,82.7000000,82.7800000,5223532
US1.PM,D,20150126,000000,82.9500000,83.4050000,82.5000000,83.0400000,3336044
US1.PM,D,20150127,000000,82.5300000,82.7200000,81.3800000,81.6000000,7372807
US1.PM,D,20150128,000000,82.0300000,82.3000000,80.3900000,80.5600000,5067339
US1.PM,D,20150129,000000,80.5100000,81.4999000,80.3210000,81.2300000,3429983
US1.PM,D,20150130,000000,80.5300000,81.1880000,80.1000000,80.2400000,5135756
US1.PM,D,20150202,000000,80.2400000,81.7000000,80.0600000,81.6800000,3288184
US1.PM,D,20150203,000000,82.0000000,82.4400000,81.8100000,82.2400000,3235680
US1.PM,D,20150204,000000,82.0400000,82.6000000,81.8500000,82.0500000,4433076
US1.PM,D,20150205,000000,82.4200000,83.2400000,81.3100000,82.5600000,5479382
US1.PM,D,20150206,000000,82.3200000,82.3200000,80.9400000,81.2600000,5041974
US1.PM,D,20150209,000000,80.8100000,81.4800000,80.5600000,80.8100000,3249298
US1.PM,D,20150210,000000,80.9200000,81.2100000,80.5300000,81.0700000,6154553
US1.PM,D,20150211,000000,81.3600000,82.7300000,81.1600000,82.4700000,4463505
US1.PM,D,20150212,000000,82.7100000,83.7200000,82.5800000,83.6800000,4619346
US1.PM,D,20150213,000000,83.8100000,83.8600000,82.6600000,82.8500000,4292620
US1.PM,D,20150217,000000,82.8000000,82.8500000,82.3000000,82.7100000,3580883
US1.PM,D,20150218,000000,82.3400000,83.0080000,82.2400000,82.9900000,2037764
US1.PM,D,20150219,000000,82.9600000,83.0500000,82.4100000,82.6300000,3125857
US1.PM,D,20150220,000000,82.4700000,83.1300000,82.2500000,83.0300000,2990132
US1.PM,D,20150223,000000,82.8000000,82.9500000,82.2800000,82.9000000,2518556
US1.PM,D,20150224,000000,82.7100000,83.6200000,82.6400000,83.5500000,2647301
US1.PM,D,20150225,000000,83.5100000,83.7200000,83.2000000,83.4500000,2389604
US1.PM,D,20150226,000000,83.2400000,83.4000000,82.5700000,82.8100000,2466318
US1.PM,D,20150227,000000,82.7300000,83.1000000,82.1400000,82.9600000,3411331
US1.PM,D,20150302,000000,82.8800000,83.2200000,82.6400000,82.9600000,2424797
US1.PM,D,20150303,000000,82.6700000,82.9900000,82.4599000,82.7100000,2864263
US1.PM,D,20150304,000000,82.6900000,82.7000000,81.6900000,82.1850000,3036925
US1.PM,D,20150305,000000,82.2000000,82.3700000,81.5400000,81.6900000,2369328
US1.PM,D,20150306,000000,81.2800000,81.3500000,79.7900000,80.0450000,6655731
US1.PM,D,20150309,000000,80.1800000,80.5950000,80.0700000,80.4600000,3899587
US1.PM,D,20150310,000000,80.0000000,80.0000000,79.0600000,79.2700000,5658803
US1.PM,D,20150311,000000,79.3300000,79.4400000,77.3800000,77.8300000,6312429
US1.PM,D,20150312,000000,78.2600000,78.7800000,77.9600000,78.7300000,4069677
US1.PM,D,20150313,000000,78.7300000,78.7300000,76.8500000,77.6500000,4221786
US1.PM,D,20150316,000000,78.0700000,78.3800000,77.4600000,77.9000000,4181828
US1.PM,D,20150317,000000,77.7700000,78.2500000,77.6300000,77.9000000,3326107
US1.PM,D,20150318,000000,77.6000000,79.2800000,76.5900000,78.5600000,7232079
US1.PM,D,20150319,000000,78.6400000,79.3200000,78.5600000,78.9000000,7623828
US1.PM,D,20150320,000000,78.8300000,79.4600000,78.7900000,79.4350000,6464387
US1.PM,D,20150323,000000,79.4500000,80.1541000,79.4500000,79.8499000,3761968
US1.PM,D,20150324,000000,78.8700000,79.2000000,77.5000000,77.5400000,5001961
US1.PM,D,20150325,000000,77.8100000,77.9700000,76.5400000,76.7000000,6759509
US1.PM,D,20150326,000000,76.5600000,76.9550000,76.2700000,76.3200000,4656299
US1.PM,D,20150327,000000,76.2700000,76.8700000,76.1600000,76.7900000,4124094
US1.PM,D,20150330,000000,77.2500000,77.2500000,76.2600000,76.8700000,3688889
US1.PM,D,20150331,000000,76.5400000,76.5500000,75.3000000,75.3050000,5749647
US1.PM,D,20150401,000000,75.2700000,76.0900000,75.2700000,76.0700000,5832117
US1.PM,D,20150402,000000,76.4400000,77.4200000,75.9500000,77.2500000,4060090
US1.PM,D,20150406,000000,77.2900000,78.6600000,77.2400000,78.2200000,4101871
US1.PM,D,20150407,000000,78.1900000,78.5700000,77.7400000,77.7400000,3901817
