<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US1.TSLA,D,20150102,000000,222.8700000,223.2500000,213.2600000,219.1900000,3943826
US1.TSLA,D,20150105,000000,214.5500000,216.5000000,207.1626000,210.0100000,4577520
US1.TSLA,D,20150106,000000,210.0600000,214.2000000,204.2100000,211.1900000,5383509
US1.TSLA,D,20150107,000000,213.3500000,214.7800000,209.7800000,210.8100000,2581874
US1.TSLA,D,20150108,000000,212.8100000,213.7999000,210.0100000,210.5500000,2922664
US1.TSLA,D,20150109,000000,208.8000000,209.9800000,204.9600000,206.6000000,3959881
US1.TSLA,D,20150112,000000,203.4400000,204.4700000,199.2500000,202.2100000,4807727
US1.TSLA,D,20150113,000000,203.3200000,207.6100000,200.9110000,204.3000000,3306819
US1.TSLA,D,20150114,000000,185.8900000,195.2000000,185.0000000,192.5900000,9179915
US1.TSLA,D,20150115,000000,194.4900000,195.7499000,190.0000000,191.7400000,4501338
US1.TSLA,D,20150116,000000,190.7000000,194.4900000,189.6500000,193.0200000,3021092
US1.TSLA,D,20150120,000000,193.8700000,194.1199000,187.0400000,191.8900000,3683656
US1.TSLA,D,20150121,000000,189.5500000,198.6800000,189.5100000,196.5600000,3513220
US1.TSLA,D,20150122,000000,197.0000000,203.2400000,195.2000000,201.6200000,3509466
US1.TSLA,D,20150123,000000,200.2900000,203.5000000,198.3300000,201.2900000,2818173
US1.TSLA,D,20150126,000000,201.8300000,208.6200000,201.0500000,206.5500000,2776986
US1.TSLA,D,20150127,000000,204.4200000,208.0300000,203.3000000,206.0300000,2319989
US1.TSLA,D,20150128,000000,206.1100000,206.3680000,198.4200000,199.2250000,2678916
US1.TSLA,D,20150129,000000,201.0700000,205.9800000,196.5000000,205.1580000,2807767
US1.TSLA,D,20150130,000000,203.9600000,207.4700000,203.0000000,203.6000000,2485735
US1.TSLA,D,20150202,000000,203.9700000,211.9499000,203.3000000,211.0100000,3598173
US1.TSLA,D,20150203,000000,213.2200000,220.3700000,211.2700000,218.3600000,4126985
US1.TSLA,D,20150204,000000,218.2900000,221.4790000,216.8000000,218.5400000,2701084
US1.TSLA,D,20150205,000000,219.8800000,225.4800000,219.6380000,220.9600000,2985610
US1.TSLA,D,20150206,000000,222.0300000,223.4000000,216.5001000,217.4600000,2762538
US1.TSLA,D,20150209,000000,215.3800000,217.9300000,211.9900000,217.4700000,2990950
US1.TSLA,D,20150210,000000,217.5500000,220.5000000,215.0000000,216.2800000,4662466
US1.TSLA,D,20150211,000000,212.2100000,214.7400000,207.2800000,212.7200000,7128587
US1.TSLA,D,20150212,000000,193.5700000,203.0882000,193.2800000,202.8510000,12887452
US1.TSLA,D,20150213,000000,202.8700000,205.9900000,200.9100000,203.7700000,5122513
US1.TSLA,D,20150217,000000,205.7000000,205.7000000,201.5000000,204.4100000,3236937
US1.TSLA,D,20150218,000000,204.1700000,206.1700000,202.6000000,204.3700000,2241827
US1.TSLA,D,20150219,000000,204.9300000,212.4400000,203.7500000,211.7100000,4424966
US1.TSLA,D,20150220,000000,210.7800000,217.6000000,209.8100000,217.1400000,5251850
US1.TSLA,D,20150223,000000,214.9900000,218.2000000,206.3300000,207.3400000,7569232
US1.TSLA,D,20150224,000000,207.2900000,207.2900000,201.7000000,204.1000000,5897579
US1.TSLA,D,20150225,000000,204.9400000,207.1400000,202.5800000,203.7700000,3514985
US1.TSLA,D,20150226,000000,204.0000000,211.0900000,202.2200000,207.2700000,5814464
US1.TSLA,D,20150227,000000,206.9000000,208.5500000,202.8000000,203.3000000,3329242
US1.TSLA,D,20150302,000000,202.7000000,202.9500000,195.8250000,197.2700000,6754295
US1.TSLA,D,20150303,000000,196.8100000,200.2435000,195.3200000,199.5500000,3870937
US1.TSLA,D,20150304,000000,199.2500000,202.5200000,197.2100000,202.5000000,3785755
US1.TSLA,D,20150305,000000,202.8500000,206.1900000,200.1500000,200.6400000,4406380
US1.TSLA,D,20150306,000000,199.3500000,200.7500000,192.1510000,193.8700000,5894647
US1.TSLA,D,20150309,000000,194.3900000,194.4900000,188.2500000,190.8000000,5859202
US1.TSLA,D,20150310,000000,188.4600000,193.5000000,187.6000000,190.3600000,4631726
US1.TSLA,D,20150311,000000,191.1500000,196.1800000,191.0100000,193.7401000,4326228
US1.TSLA,D,20150312,000000,193.7500000,194.4500000,189.7500000,191.1497000,3560767
US1.TSLA,D,20150313,000000,188.9500000,191.7500000,187.3200000,188.6100000,4515060
US1.TSLA,D,20150316,000000,192.0000000,195.9100000,189.8000000,195.7100000,4749069
US1.TSLA,D,20150317,000000,195.3800000,198.7100000,193.9400000,194.7200000,4269487
US1.TSLA,D,20150318,000000,194.9400000,200.8800000,193.1100000,200.7220000,4003165
US1.TSLA,D,20150319,000000,202.0000000,204.5900000,194.5300000,195.5100000,7145666
US1.TSLA,D,20150320,000000,197.4000000,198.9900000,195.6210000,198.0400000,3463870
US1.TSLA,D,20150323,000000,198.5000000,200.5000000,197.4700000,199.6400000,2147689
US1.TSLA,D,20150324,000000,201.5800000,203.7900000,199.7500000,201.7200000,3088647
US1.TSLA,D,20150325,000000,198.2700000,198.5900000,192.7000000,194.3100000,4589762
US1.TSLA,D,20150326,000000,193.9200000,194.7900000,189.7000000,190.4000000,3359889
US1.TSLA,D,20150327,000000,189.0700000,189.2899000,181.4000000,185.0000000,7302502
US1.TSLA,D,20150330,000000,185.6800000,192.2500000,181.8000000,190.5600000,8755061
US1.TSLA,D,20150331,000000,193.3300000,193.7600000,188.4100000,188.8200000,4056736
US1.TSLA,D,20150401,000000,188.7000000,192.3000000,186.0500000,187.5100000,3191741
US1.TSLA,D,20150402,000000,190.2300000,193.2300000,190.0000000,191.0700000,4377549
US1.TSLA,D,20150406,000000,198.0000000,207.7500000,197.5000000,203.0962000,10938657
US1.TSLA,D,20150407,000000,202.5100000,205.0600000,201.1400000,203.2800000,3682764
US1.TSLA,D,20150408,000000,208.2000000,210.9000000,205.8700000,207.6800000,5190679
US1.TSLA,D,20150409,000000,208.3500000,210.3700000,206.1200000,210.1065000,3230157
US1.TSLA,D,20150410,000000,209.8500000,211.6500000,209.0000000,210.8800000,3459249
US1.TSLA,D,20150413,000000,210.4350000,213.0000000,209.0500000,209.8300000,3284998
US1.TSLA,D,20150414,000000,208.5300000,209.4900000,205.5000000,207.4600000,2621130
US1.TSLA,D,20150415,000000,207.4600000,209.5900000,206.6000000,207.8200000,1599297
US1.TSLA,D,20150416,000000,207.7000000,209.1700000,206.2900000,206.6750000,1351588
US1.TSLA,D,20150417,000000,204.9500000,206.8800000,203.5000000,206.7900000,2082295
US1.TSLA,D,20150420,000000,206.7800000,207.8500000,203.8500000,205.2717000,2158701
US1.TSLA,D,20150421,000000,205.8000000,210.7500000,204.3100000,209.4100000,3015367
US1.TSLA,D,20150422,000000,212.5100000,221.8800000,211.6900000,219.4400000,6738232
US1.TSLA,D,20150423,000000,218.2700000,221.4800000,217.1501000,218.6000000,3672888
US1.TSLA,D,20150424,000000,220.5000000,220.8000000,218.0100000,218.3600000,2013190
US1.TSLA,D,20150427,000000,222.5900000,238.7500000,222.0000000,231.5400000,10248513
US1.TSLA,D,20150428,000000,234.7500000,235.5000000,228.0300000,230.4800000,5212787
US1.TSLA,D,20150429,000000,230.0500000,234.9700000,227.6300000,232.4500000,3451807
US1.TSLA,D,20150430,000000,230.3300000,232.8900000,225.1700000,226.0600000,3228292
US1.TSLA,D,20150501,000000,229.9400000,231.7700000,220.4050000,225.9600000,4378942
US1.TSLA,D,20150504,000000,228.1800000,234.7300000,227.1100000,230.5000000,3763723
US1.TSLA,D,20150505,000000,237.7500000,239.5000000,229.1300000,232.8600000,4820855
US1.TSLA,D,20150506,000000,234.0100000,234.4700000,228.2000000,230.5300000,3401512
US1.TSLA,D,20150507,000000,221.6000000,237.4800000,220.2500000,236.8700000,7907581
US1.TSLA,D,20150508,000000,235.9900000,238.4099000,233.7000000,236.6100000,4040254
US1.TSLA,D,20150511,000000,236.2900000,242.8800000,235.3100000,239.5100000,4903602
US1.TSLA,D,20150512,000000,240.1100000,246.3500000,238.1900000,244.7500000,5442974
US1.TSLA,D,20150513,000000,247.6100000,248.3000000,242.2500000,243.1300000,4612129
US1.TSLA,D,20150514,000000,244.8200000,244.8900000,241.2500000,244.1000000,2314854
US1.TSLA,D,20150515,000000,243.9300000,249.4000000,242.5000000,248.8601000,3866660
US1.TSLA,D,20150518,000000,247.0000000,249.9000000,246.0000000,248.7200000,2710829
US1.TSLA,D,20150519,000000,248.8600000,251.0000000,246.1500000,247.0450000,3058282
US1.TSLA,D,20150520,000000,247.1300000,247.7400000,241.3721000,244.3300000,3198599
US1.TSLA,D,20150521,000000,243.2300000,246.6200000,242.3574000,245.6200000,1579798
US1.TSLA,D,20150522,000000,245.3800000,248.6000000,245.0100000,247.7300000,1886873
US1.TSLA,D,20150526,000000,247.6800000,252.0000000,246.5000000,247.4100000,2953344
US1.TSLA,D,20150527,000000,248.5100000,249.5000000,245.5500000,247.4300000,2838892
US1.TSLA,D,20150528,000000,247.0300000,251.8000000,245.0500000,251.4500000,2971138
US1.TSLA,D,20150529,000000,251.0000000,252.8677000,249.4300000,250.6900000,3134083
US1.TSLA,D,20150601,000000,251.4100000,251.6000000,247.4700000,249.2800000,2057362
US1.TSLA,D,20150602,000000,248.9200000,249.4000000,246.3000000,248.3500000,1741566
US1.TSLA,D,20150603,000000,248.2000000,250.7200000,247.0100000,248.9900000,1463123
US1.TSLA,D,20150604,000000,247.5000000,249.3000000,245.7100000,245.8500000,2002745
US1.TSLA,D,20150605,000000,246.0000000,249.7000000,245.6800000,249.0900000,2672979
US1.TSLA,D,20150608,000000,250.8500000,258.7500000,250.3100000,256.3750000,4268877
US1.TSLA,D,20150609,000000,255.4000000,257.7400000,254.1400000,256.1800000,2126135
