Ticker;2015;2016;2017;2018;2019;2020;2021
US1.AAPL;5,73;6,51;6,14;7,17;6,86;12,0;5,36
US1.ADBE;3,77;7,08;12,24;9,5;5,19;17,47;4,63
US1.AMZN;14,15;9,33;13,21;10,22;5,11;7,99;4,74
US1.CSCO;9,47;9,69;5,21;5,83;6,68;12,54;4,08
US1.DIS;7,67;3,07;4,75;5,64;11,5;14,52;6,35
US1.INTC;6,38;3,52;7,3;10,53;8,2;19,13;6,97
US1.JNJ;4,79;4,86;3,5;3,55;2,98;7,9;2,82
US1.KO;2,89;2,46;1,85;2,96;6,03;6,37;2,65
US1.MSFT;10,85;5,74;6,44;7,62;4,69;14,31;4,25
US1.NFLX;18,19;19,0;13,56;10,23;9,73;11,58;16,74
US1.NKE;8,85;3,88;10,94;11,2;4,63;15,16;15,57
US1.NVDA;13,86;29,81;17,89;9,37;7,19;17,52;12,02
US1.PEP;3,14;2,75;1,67;4,76;3,76;12,96;3,29
US1.PFE;3,89;7,1;3,28;4,73;3,14;9,29;10,78
US1.PG;3,58;3,51;3,73;8,75;4,87;12,03;3,23
US1.PM;8,72;3,17;3,0;4,23;8,12;10,16;4,2
US1.TSLA;11,2;8,88;7,26;17,24;17,55;19,99;19,66
