Ticker;2015;2016;2017;2018;2019;2020;2021
US1.AAPL;252;252;251;251;252;251;252
US1.ADBE;252;252;251;251;252;251;252
US1.AMZN;252;252;251;251;252;252;252
US1.CSCO;252;252;251;251;252;251;252
US1.DIS;252;252;251;251;252;251;252
US1.INTC;252;252;251;251;252;251;252
US1.JNJ;252;252;251;251;252;251;252
US1.KO;252;252;251;251;252;252;252
US1.MCD_disappeared_874557;0;0;0;0;202;253;252
US1.MSFT;252;252;251;251;252;251;252
US1.NFLX;252;252;251;251;252;252;252
US1.NKE;252;252;251;251;252;253;252
US1.NVDA;252;252;251;251;252;251;252
US1.PEP;252;252;251;251;252;253;252
US1.PFE;252;252;251;251;252;252;252
US1.PG;252;252;251;251;252;251;252
US1.PM;252;252;251;251;252;253;252
US1.TSLA;252;252;251;251;252;252;252
